type_species,Species,Author,Subspecies,Order,Family,change,sp#
,Phrynosoma asio,COPE 1864,,Sauria,Phrynosomatidae,,17372
,Phrynosoma bauri,MONTANUCCI 2015,,Sauria,Phrynosomatidae,,20384
,Phrynosoma blainvillii,GRAY 1839,,Sauria,Phrynosomatidae,,17373
,Phrynosoma braconnieri,BOCOURT 1870,,Sauria,Phrynosomatidae,,17374
,Phrynosoma brevirostris,(GIRARD 1858),,Sauria,Phrynosomatidae,,20386
,Phrynosoma cerroense,STEJNEGER 1893,,Sauria,Phrynosomatidae,,17375
,Phrynosoma cornutum,(HARLAN 1825),,Sauria,Phrynosomatidae,,17376
,Phrynosoma coronatum,(BLAINVILLE 1835),"Phrynosoma coronatum coronatum (BLAINVILLE 1835)
Phrynosoma coronatum frontale VAN DENBURGH 1894",Sauria,Phrynosomatidae,,17377
,Phrynosoma diminutum,MONTANUCCI 2015,,Sauria,Phrynosomatidae,,20383
,Phrynosoma ditmarsi,STEJNEGER 1906,,Sauria,Phrynosomatidae,,17378
,Phrynosoma douglasii,(BELL 1829),,Sauria,Phrynosomatidae,,17379
,Phrynosoma goodei,STEJNEGER 1893,,Sauria,Phrynosomatidae,,17380
,Phrynosoma hernandesi,GIRARD 1858,"Phrynosoma hernandesi hernandesi GIRARD 1858
Phrynosoma hernandesi ornatum GIRARD 1858",Sauria,Phrynosomatidae,,17381
,Phrynosoma mcallii,(HALLOWELL 1852),,Sauria,Phrynosomatidae,,17382
,Phrynosoma modestum,GIRARD 1852,,Sauria,Phrynosomatidae,,17383
x,Phrynosoma orbiculare,(LINNAEUS 1758),"Phrynosoma orbiculare bradti HOROWITZ 1955
Phrynosoma orbiculare boucardii (DUMÉRIL & BOCOURT 1870)
Phrynosoma orbiculare cortezii (DUMÉRIL & BOCOURT 1870)
Phrynosoma orbiculare dugesii (DUMÉRIL & BOCOURT 1870)
Phrynosoma orbiculare orbiculare (LINNAEUS 1758)",Sauria,Phrynosomatidae,,17384
,Phrynosoma ornatissimum,(GIRARD 1858),"Phrynosoma ornatissimum ornatissimum GIRARD 1858
Phrynosoma ornatissimum brachycercum SMITH 1942",Sauria,Phrynosomatidae,,20385
,Phrynosoma platyrhinos,GIRARD 1852,,Sauria,Phrynosomatidae,,17385
,Phrynosoma sherbrookei,"NIETO-MONTES DE OCA, ARENAS-MORENO, BELTRÁN-SÁNCHEZ & LEACHÉ 2014",,Sauria,Phrynosomatidae,,17386
,Phrynosoma solare,GRAY 1845,,Sauria,Phrynosomatidae,,17387
,Phrynosoma taurus,BOCOURT 1870,,Sauria,Phrynosomatidae,,17388
,Phyllodactylus andysabini,"ARTEAGA, BUSTAMANTE, VIEIRA, TAPIA & GUAYASAMIN 2019",,Sauria,Phyllodactylidae,,22585
,Phyllodactylus angustidigitus,DIXON & HUEY 1970,,Sauria,Phyllodactylidae,,17391
,Phyllodactylus apricus,DIXON 1966,,Sauria,Phyllodactylidae,,24002
,Phyllodactylus barringtonensis,VAN DENBURGH 1912,,Sauria,Phyllodactylidae,,17393
,Phyllodactylus baurii,GARMAN 1892,,Sauria,Phyllodactylidae,,17394
,Phyllodactylus benedettii,RAMÍREZ-REYES & FLORES-VILLELA 2018,,Sauria,Phyllodactylidae,,21363
,Phyllodactylus bordai,TAYLOR 1942,,Sauria,Phyllodactylidae,,17395
,Phyllodactylus bugastrolepis,DIXON 1966,,Sauria,Phyllodactylidae,,17396
,Phyllodactylus cleofasensis,"RAMÍREZ-REYES, BARRAZA-SOLTERO, NOLASCO-LUNA, FLORES-VILLELA & ESCO BEDO-GALVÁN 2021",,Sauria,Phyllodactylidae,,23679
,Phyllodactylus clinatus,DIXON & HUEY 1970,,Sauria,Phyllodactylidae,,17397
,Phyllodactylus coronatus,DIXON 1966,,Sauria,Phyllodactylidae,,24003
,Phyllodactylus darwini,TAYLOR 1942,,Sauria,Phyllodactylidae,,17398
,Phyllodactylus davisi,DIXON 1964,,Sauria,Phyllodactylidae,,17399
,Phyllodactylus delcampoi,MOSAUER 1936,,Sauria,Phyllodactylidae,,17400
,Phyllodactylus delsolari,"VENEGAS, TOWNSEND, KOCH & BÖHME 2008",,Sauria,Phyllodactylidae,,17401
,Phyllodactylus dixoni,RIVERO -BLANCO & LANCINI 1968,,Sauria,Phyllodactylidae,,17402
,Phyllodactylus duellmani,DIXON 1960,,Sauria,Phyllodactylidae,,17403
,Phyllodactylus duncanensis,VAN DENBURGH 1912,,Sauria,Phyllodactylidae,,20768
,Phyllodactylus galapagensis,PETERS 1869,"Phyllodactylus galapagensis daphnensis VAN DENBURGH 1912
Phyllodactylus galapagensis olschkii LANZA 1973
Phyllodactylus galapagensis galapagensis PETERS 1869",Sauria,Phyllodactylidae,,17404
,Phyllodactylus gerrhopygus,(WIEGMANN 1834),,Sauria,Phyllodactylidae,,17405
,Phyllodactylus gilberti,HELLER 1903,,Sauria,Phyllodactylidae,,17406
,Phyllodactylus gorii,LANZA 1973,,Sauria,Phyllodactylidae,,20555
,Phyllodactylus hispaniolae,SCHWARTZ 1979,,Sauria,Phyllodactylidae,,21451
,Phyllodactylus homolepidurus,SMITH 1935,,Sauria,Phyllodactylidae,,17408
,Phyllodactylus inaequalis,COPE 1875,,Sauria,Phyllodactylidae,,17409
,Phyllodactylus insularis,DIXON 1960,,Sauria,Phyllodactylidae,,17410
,Phyllodactylus interandinus,DIXON & HUEY 1970,,Sauria,Phyllodactylidae,,17411
,Phyllodactylus johnwrighti,DIXON & HUEY 1970,,Sauria,Phyllodactylidae,,17412
,Phyllodactylus julieni,COPE 1885,,Sauria,Phyllodactylidae,,17413
,Phyllodactylus kofordi,DIXON & HUEY 1970,,Sauria,Phyllodactylidae,,17414
,Phyllodactylus kropotkini,RAMÍREZ-REYES & FLORES-VILLELA 2018,,Sauria,Phyllodactylidae,,21366
,Phyllodactylus lanei,SMITH 1935,"Phyllodactylus lanei lupitae CASTRO-FRANCO & URIBE-PENA 1992
Phyllodactylus lanei isabelae CASTRO-FRANCO & URIBE-PENA 1992
Phyllodactylus lanei rupinus DIXON 1964
Phyllodactylus lanei lanei SMITH 1935",Sauria,Phyllodactylidae,,17415
,Phyllodactylus leei,COPE 1889,,Sauria,Phyllodactylidae,,17416
,Phyllodactylus leoni,"TORRES-CARVAJAL, CARVAJAL-CAMPOS BARNES, NICHOLLS & POZO-ANDRADE 2013",,Sauria,Phyllodactylidae,,17417
,Phyllodactylus lepidopygus,(TSCHUDI 1845),,Sauria,Phyllodactylidae,,17418
,Phyllodactylus magister,NOBLE 1924,,Sauria,Phyllodactylidae,,20770
,Phyllodactylus magnus,TAYLOR 1942,,Sauria,Phyllodactylidae,,23793
,Phyllodactylus maresi,LANZA 1973,,Sauria,Phyllodactylidae,,23160
,Phyllodactylus martini,LIDTH DE JEUDE 1887,,Sauria,Phyllodactylidae,,17419
,Phyllodactylus microphyllus,COPE 1875,,Sauria,Phyllodactylidae,,17420
,Phyllodactylus muralis,TAYLOR 1940,"Phyllodactylus muralis isthmus DIXON 1964
Phyllodactylus muralis muralis TAYLOR 1940",Sauria,Phyllodactylidae,,17421
,Phyllodactylus nocticolus,DIXON 1964,"Phyllodactylus nocticolus nocticolus DIXON 1964
Phyllodactylus nocticolus acorius DIXON 1966
Phyllodactylus nocticolus sloani BOSTIC 1971",Sauria,Phyllodactylidae,,17422
,Phyllodactylus nolascoensis,DIXON 1964,,Sauria,Phyllodactylidae,,23860
,Phyllodactylus pachamama,"KOCH, FLECKS, VENEGAS, BIALKE, VALVERDE & RÖDDER 2016",,Sauria,Phyllodactylidae,,20721
,Phyllodactylus palmeus,DIXON 1968,,Sauria,Phyllodactylidae,,17423
,Phyllodactylus papenfussi,"MURPHY, BLAIR & DE LA CRUZ 2009",,Sauria,Phyllodactylidae,,17424
,Phyllodactylus paralepis,MCCRANIE & HEDGES 2013,,Sauria,Phyllodactylidae,,17425
,Phyllodactylus partidus,DIXON 1966,,Sauria,Phyllodactylidae,,17426
,Phyllodactylus paucituberculatus,DIXON 1960,,Sauria,Phyllodactylidae,,17427
x,Phyllodactylus pulcher,GRAY 1828,,Sauria,Phyllodactylidae,,17428
,Phyllodactylus pumilus,DIXON & HUEY 1970,,Sauria,Phyllodactylidae,,17429
,Phyllodactylus reissii,PETERS 1862,,Sauria,Phyllodactylidae,,17430
,Phyllodactylus rutteni,HUMMELINCK 1940,,Sauria,Phyllodactylidae,,17431
,Phyllodactylus santacruzensis,DIXON 1966,,Sauria,Phyllodactylidae,,24005
,Phyllodactylus saxatilis,DIXON 1964,,Sauria,Phyllodactylidae,,23794
,Phyllodactylus sentosus,DIXON & HUEY 1970,,Sauria,Phyllodactylidae,,17433
,Phyllodactylus simpsoni,"ARTEAGA, BUSTAMANTE, VIEIRA, TAPIA & GUAYASAMIN 2019",,Sauria,Phyllodactylidae,,22588
,Phyllodactylus sommeri,SCHWARTZ 1979,,Sauria,Phyllodactylidae,,21450
,Phyllodactylus thompsoni,"VENEGAS, TOWNSEND, KOCH & BÖHME 2008",,Sauria,Phyllodactylidae,,17434
,Phyllodactylus transversalis,HUEY 1975,,Sauria,Phyllodactylidae,,17436
,Phyllodactylus tuberculosus,WIEGMANN 1834,"Phyllodactylus tuberculosus ingeri DIXON 1964
Phyllodactylus tuberculosus tuberculosus WIEGMANN 1834",Sauria,Phyllodactylidae,,17437
,Phyllodactylus unctus,(COPE 1863),,Sauria,Phyllodactylidae,,17438
,Phyllodactylus ventralis,O'SHAUGHNESSY 1875,,Sauria,Phyllodactylidae,,17439
,Phyllodactylus wirshingi,KERSTER & SMITH 1955,,Sauria,Phyllodactylidae,,17440
,Phyllodactylus xanti,COPE 1863,"Phyllodactylus xanti xanti COPE 1863
Phyllodactylus xanti zweifeli DIXON 1964",Sauria,Phyllodactylidae,,17441
,Phyllopezus heuteri,"CACCIALI, LOTZKAT, GAMBLE & KÖHLER 2018",,Sauria,Phyllodactylidae,,21669
,Phyllopezus lutzae,(LOVERIDGE 1941),,Sauria,Phyllodactylidae,,17442
,Phyllopezus maranjonensis,"KOCH, VENEGAS & BÖHME 2006",,Sauria,Phyllodactylidae,,17443
,Phyllopezus periosus,RODRIGUES 1986,,Sauria,Phyllodactylidae,,17444
x,Phyllopezus pollicaris,(SPIX 1825),,Sauria,Phyllodactylidae,,17445
,Phyllopezus przewalskii,KOSLOWSKY 1895,,Sauria,Phyllodactylidae,,21720
x,Phyllorhynchus browni,STEJNEGER 1890,,Serpentes,Colubridae,,17446
,Phyllorhynchus decurtatus,(COPE 1868),,Serpentes,Colubridae,,17447
,Phyllurus amnicola,"COUPER, SCHNEIDER, HOSKIN & COVACEVICH 2000",,Sauria,Carphodactylidae,,17448
,Phyllurus caudiannulatus,COVACEVICH 1975,,Sauria,Carphodactylidae,,17449
,Phyllurus championae,"COUPER, SCHNEIDER, HOSKIN & COVACEVICH 2000",,Sauria,Carphodactylidae,,17450
,Phyllurus gulbaru,"HOSKIN, COUPER & SCHNEIDER 2003",,Sauria,Carphodactylidae,,17451
,Phyllurus isis,"COUPER, COVACEVICH & MORITZ 1993",,Sauria,Carphodactylidae,,17452
,Phyllurus kabikabi,"COUPER, HAMLEY & HOSKIN 2008",,Sauria,Carphodactylidae,,17453
,Phyllurus nepthys,"COUPER, COVACEVICH & MORITZ 1993",,Sauria,Carphodactylidae,,17454
,Phyllurus ossa,"COUPER, COVACEVICH & MORITZ 1993","Phyllurus ossa ossa COUPER, COVACEVICH & MORITZ 1993
Phyllurus ossa hobsoni COUPER & HOSKIN 2013
Phyllurus ossa tamoya COUPER & HOSKIN 2013",Sauria,Carphodactylidae,,17455
,Phyllurus pinnaclensis,"HOSKIN, BERTOLA & HIGGIE 2019",,Sauria,Carphodactylidae,,22094
x,Phyllurus platurus,(SHAW 1790),,Sauria,Carphodactylidae,,17456
,Phymaturus aguanegra,"LOBO, LASPIUR & ACOSTA 2013",,Sauria,Liolaemidae,,17457
,Phymaturus aguedae,TRONCOSO-PALACIOS & ESQUERRÉ 2014,,Sauria,Liolaemidae,,17458
,Phymaturus alicahuense,"NUÑEZ, VELOSO, ESPEJO, VELOSO, CORTES & ARAYA 2010",,Sauria,Liolaemidae,,17459
,Phymaturus antofagastensis,PEREYRA 1985,,Sauria,Liolaemidae,,17460
,Phymaturus bibronii,(GUICHENOT 1848),,Sauria,Liolaemidae,,17461
,Phymaturus cacivioi,LOBO & NENDA 2015,,Sauria,Liolaemidae,,20267
,Phymaturus calcogaster,SCOLARO & CEI 2003,,Sauria,Liolaemidae,,17462
,Phymaturus camilae,"SCOLARO, JARA & PINCHEIRA-DONOSO 2013",,Sauria,Liolaemidae,,17463
,Phymaturus castillensis,SCOLARO & PINCHEIRA-DONOSO 2010,,Sauria,Liolaemidae,,17464
,Phymaturus ceii,SCOLARO & IBARGU?ENGOYTI?A 2007,,Sauria,Liolaemidae,,17465
,Phymaturus curivilcun,"SCOLARO, CORBALÁN, TAPPARI & STREITENBERGER 2016",,Sauria,Liolaemidae,,20896
,Phymaturus darwini,"NUÑEZ, VELOSO, ESPEJO, VELOSO, CORTES & ARAYA 2010",,Sauria,Liolaemidae,,17467
,Phymaturus delheyi,"AVILA, PEREZ, PEREZ & MORANDO 2011",,Sauria,Liolaemidae,,17468
,Phymaturus denotatus,"LOBO, NENDA & SLODKI 2012",,Sauria,Liolaemidae,,17469
,Phymaturus desuetus,SCOLARO & TAPPARI 2009,,Sauria,Liolaemidae,,17470
,Phymaturus dorsimaculatus,LOBO & QUINTEROS 2005,,Sauria,Liolaemidae,,20280
,Phymaturus etheridgei,"LOBO, ABDALA & VALDECANTOS 2010",,Sauria,Liolaemidae,,17471
,Phymaturus extrilidus,"LOBO, ESPINOZA, SANABRIA & QUIROGA 2012",,Sauria,Liolaemidae,,17473
,Phymaturus felixi,"LOBO, ABDALA & VALDECANTOS 2010",,Sauria,Liolaemidae,,17474
,Phymaturus fiambala,"LOBO, HIBBARD, QUIPILDOR & VALDECANTOS 2019",,Sauria,Liolaemidae,,22812
,Phymaturus indistinctus,CEI & CASTRO 1973,,Sauria,Liolaemidae,,17475
,Phymaturus katenke,"SCOLARO, CORBALÁN, OBREGÓN STREITENBERGER & TAPPARI 2021",,Sauria,Liolaemidae,,24145
,Phymaturus laurenti,"LOBO, ABDALA & VALDECANTOS 2010",,Sauria,Liolaemidae,,17476
,Phymaturus loboi,"TRONCOSO-PALACIOS, FERRI-YÁÑEZ, LASPIUR & AGUILAR 2019",,Sauria,Liolaemidae,,22112
,Phymaturus mallimaccii,CEI 1980,,Sauria,Liolaemidae,,17477
,Phymaturus manuelae,SCOLARO & IBARGU?ENGOYTI?A 2008,,Sauria,Liolaemidae,,17478
,Phymaturus maulense,"NUÑEZ, VELOSO, ESPEJO, VELOSO, CORTES & ARAYA 2010",,Sauria,Liolaemidae,,17479
,Phymaturus nevadoi,CEI & ROIG 1975,,Sauria,Liolaemidae,,17480
,Phymaturus niger,"LOBO, BARRASSO, HIBBARD, QUIPILDOR, SLODKI, VALDECANTOS & BASSO 2021",,Sauria,Liolaemidae,,23947
x,Phymaturus palluma,(MOLINA 1782),,Sauria,Liolaemidae,,17481
,Phymaturus patagonicus,KOSLOWSKY 1898,,Sauria,Liolaemidae,,17482
,Phymaturus payuniae,CEI & CASTRO 1973,,Sauria,Liolaemidae,,17483
,Phymaturus punae,"CEI, ETHERIDGE & VIDELA 1985",,Sauria,Liolaemidae,,17484
,Phymaturus querque,"LOBO, ABDALA & VALDECANTOS 2010",,Sauria,Liolaemidae,,17485
,Phymaturus rahuensis,"GONZÁLEZ-MARÍN, FULVIO-PÉREZ, MINOLI, MORANDO & AVILA 2016",,Sauria,Liolaemidae,,20605
,Phymaturus robustus,"LOBO, BARRASSO, HIBBARD, QUIPILDOR, SLODKI, VALDECANTOS & BASSO 2021",,Sauria,Liolaemidae,,23950
,Phymaturus roigorum,LOBO & ABDALA 2007,,Sauria,Liolaemidae,,17486
,Phymaturus sinervoi,"SCOLARO, DE LA CRUZ & IBARGÜENGOYTÍA 2012",,Sauria,Liolaemidae,,17487
,Phymaturus sitesi,"AVILA, PÉREZ, PEREZ & MORANDO 2011",,Sauria,Liolaemidae,,17488
,Phymaturus somuncurensis,CEI & CASTRO 1973,,Sauria,Liolaemidae,,17489
,Phymaturus spurcus,BARBOUR 1921,,Sauria,Liolaemidae,,17491
,Phymaturus tenebrosus,LOBO & QUINTEROS 2005,,Sauria,Liolaemidae,,17492
,Phymaturus timi,"HIBBARD, NENDA & LOBO 2019",,Sauria,Liolaemidae,,22206
,Phymaturus tromen,LOBO & NENDA 2015,,Sauria,Liolaemidae,,20278
,Phymaturus verdugo,CEI & VIDELA 2003,,Sauria,Liolaemidae,,17493
,Phymaturus videlai,SCOLARO & PINCHEIRA-DONOSO 2010,,Sauria,Liolaemidae,,17494
,Phymaturus vociferator,PINCHEIRA-DONOSO 2004,,Sauria,Liolaemidae,,17495
,Phymaturus williamsi,"LOBO, LASPIUR & ACOSTA 2013",,Sauria,Liolaemidae,,17496
,Phymaturus yachanana,"AVILA, PÉREZ, MINOLI & MORANDO 2014",,Sauria,Liolaemidae,,17497
,Phymaturus zapalensis,CEI & CASTRO 1973,,Sauria,Liolaemidae,,17498
x,Physignathus cocincinus,CUVIER 1829,,Sauria,Agamidae,,17499
x,Phytolopsis punctata,GRAY 1849,,Serpentes,Homalopsidae,,17500
,Pinoyscincus abdictus,(BROWN & ALCALA 1980),"Pinoyscincus abdictus abdictus (BROWN & ALCALA 1980)
Pinoyscincus abdictus aquilonius (BROWN & ALCALA 1980)",Sauria,Scincidae,,17501
,Pinoyscincus coxi,(TAYLOR 1915),"Pinoyscincus coxi coxi (TAYLOR 1915)
Pinoyscincus coxi divergens (TAYLOR 1922)",Sauria,Scincidae,,17502
x,Pinoyscincus jagori,(PETERS 1864),"Pinoyscincus jagori jagori (PETERS 1864)
Pinoyscincus jagori grandis (TAYLOR 1922)",Sauria,Scincidae,,17503
,Pinoyscincus llanosi,(TAYLOR 1919),,Sauria,Scincidae,,17504
,Pinoyscincus mindanensis,(TAYLOR 1915),,Sauria,Scincidae,,17505
,Pituophis catenifer,(BLAINVILLE 1835),"Pituophis catenifer affinis HALLOWELL 1852
Pituophis catenifer annectens BAIRD & GIRARD 1853
Pituophis catenifer catenifer (BLAINVILLE 1835)
Pituophis catenifer deserticola STEJNEGER 1893
Pituophis catenifer fulginatus KLAUBER 1946
Pituophis catenifer pumilus KLAUBER 1946
Pituophis catenifer sayi (SCHLEGEL 1837)",Serpentes,Colubridae,,17506
,Pituophis deppei,(DUMÉRIL 1853),"Pituophis deppei deppei (DUMÉRIL 1853)
Pituophis deppei jani (COPE 1861)",Serpentes,Colubridae,,17507
,Pituophis insulanus,(KLAUBER 1946),,Serpentes,Colubridae,,21186
,Pituophis lineaticollis,(COPE 1861),"Pituophis lineaticollis gibsoni STUART 1954
Pituophis lineaticollis lineaticollis (COPE 1861)",Serpentes,Colubridae,,17508
x,Pituophis melanoleucus,(DAUDIN 1803),"Pituophis melanoleucus lodingi BLANCHARD 1924
Pituophis melanoleucus melanoleucus (DAUDIN 1803)
Pituophis melanoleucus mugitus BARBOUR 1921",Serpentes,Colubridae,,17509
,Pituophis ruthveni,STULL 1929,,Serpentes,Colubridae,,17510
,Pituophis vertebralis,(BLAINVILLE 1835),,Serpentes,Colubridae,,17511
,Placosoma cipoense,CUNHA 1966,,Sauria,Gymnophthalmidae,,17512
x,Placosoma cordylinum,TSCHUDI 1847,"Placosoma cordylinum cordylinum FITZINGER in TSCHUDI 1847
Placosoma cordylinum champsonotus (WERNER 1910)",Sauria,Gymnophthalmidae,,17513
,Placosoma glabellum,(PETERS 1870),,Sauria,Gymnophthalmidae,,17514
,Placosoma limaverdorum,"BORGES-NOJOSA, CARAMASCHI & RODRIGUES 2016",,Sauria,Gymnophthalmidae,,20827
x,Plagiopholis blakewayi,BOULENGER 1893,,Serpentes,Colubridae,,17515
,Plagiopholis delacouri,ANGEL 1929,,Serpentes,Colubridae,,17516
,Plagiopholis nuchalis,(BOULENGER 1893),,Serpentes,Colubridae,,17517
,Plagiopholis styani,(BOULENGER 1899),,Serpentes,Colubridae,,17518
x,Platemys platycephala,(SCHNEIDER 1792),"Platemys platycephala platycephala (SCHNEIDER 1792)
Platemys platycephala melanonota ERNST 1984",Testudines,Chelidae,,17520
,Platyceps afarensis,SCHÄTTI & INEICH 2004,,Serpentes,Colubridae,,17521
,Platyceps atayevi,(TUNIYEV & SHAMMAKOV 1993),,Serpentes,Colubridae,,23075
,Platyceps bholanathi,(SHARMA 1976),,Serpentes,Colubridae,,12461
,Platyceps brevis,(BOULENGER 1895),"Platyceps brevis brevis (BOULENGER 1895)
Platyceps brevis smithii (BOULENGER 1895)",Serpentes,Colubridae,,17522
,Platyceps collaris,(MÜLLER 1878),,Serpentes,Colubridae,,17523
,Platyceps elegantissimus,(GÜNTHER 1878),,Serpentes,Colubridae,,17524
,Platyceps florulentus,(GEOFFROY SAINT-HILAIRE 1827),"Platyceps florulentus florulentus (GEOFFROY SAINT-HILAIRE 1827)
Platyceps florulentus keniensis (PARKER 1932)
Platyceps florulentus perreti (SCHÄTTI 1988)",Serpentes,Colubridae,,17525
,Platyceps gracilis,(GÜNTHER 1862),,Serpentes,Colubridae,,17526
,Platyceps insulanus,(MERTENS 1965),,Serpentes,Colubridae,,17527
,Platyceps josephi,"DEEPAK, NARAYANAN, MOHAPATRA, DUTTA, MELVINSELVAN, KHAN, MAHLOW & TILLACK 2021",,Serpentes,Colubridae,,23811
,Platyceps karelini,(BRANDT 1838),"Platyceps karelini chesneii (MARTIN 1838)
Platyceps karelini karelini (BRANDT 1838)
Platyceps karelini mintonorum (MERTENS 1969)",Serpentes,Colubridae,,17528
,Platyceps ladacensis,(ANDERSON 1871),,Serpentes,Colubridae,,17529
,Platyceps largeni,(SCHÄTTI 2001),,Serpentes,Colubridae,,17530
,Platyceps messanai,(SCHÄTTI & LANZA 1989),,Serpentes,Colubridae,,17531
,Platyceps najadum,(EICHWALD 1831),"Platyceps najadum albitemporalis (DAREVSKY & ORLOV 1994)
Platyceps najadum dahlii (FITZINGER 1826)
Platyceps najadum kalymnensis (SCHNEIDER 1979)
Platyceps najadum najadum (EICHWALD 1831)",Serpentes,Colubridae,,17532
,Platyceps noeli,"SCHÄTTI, TILLACK, KUCHARZEWSKI 2014",,Serpentes,Colubridae,,20168
,Platyceps plinii,(MERREM 1820),,Serpentes,Colubridae,,23814
x,Platyceps rhodorachis,(JAN 1863),"Platyceps rhodorachis subniger (BOETTGER 1893)
Platyceps rhodorachis rhodorachis (JAN in FILIPPI 1865)",Serpentes,Colubridae,,17533
,Platyceps rogersi,(ANDERSON 1893),,Serpentes,Colubridae,,20615
,Platyceps saharicus,(SCHÄTTI & MCCARTHY 2004),,Serpentes,Colubridae,,21260
,Platyceps schmidtleri,(SCHÄTTI & MCCARTHY 2001),,Serpentes,Colubridae,,23070
,Platyceps scortecci,(LANZA 1963),,Serpentes,Colubridae,,17534
,Platyceps sinai,(SCHMIDT & MARX 1956),,Serpentes,Colubridae,,17535
,Platyceps sindhensis,"SCHÄTTI, TILLACK, KUCHARZEWSKI 2014",,Serpentes,Colubridae,,20169
,Platyceps somalicus,(BOULENGER 1896),,Serpentes,Colubridae,,17536
,Platyceps taylori,(PARKER 1949),,Serpentes,Colubridae,,17537
,Platyceps thomasi,(PARKER 1931),,Serpentes,Colubridae,,17539
,Platyceps variabilis,(BOULENGER 1905),"Platyceps variabilis manseri (LEVITON 1986)
Platyceps variabilis variabilis (BOULENGER 1905)",Serpentes,Colubridae,,17540
,Platyceps ventromaculatus,(GRAY 1834),"Platyceps ventromaculatus ventromaculatus (GRAY 1834)
Platyceps ventromaculatus bengalensis (KHAN & KHAN 2000)
Platyceps ventromaculatus indusai (KHAN & KHAN 2000)",Serpentes,Colubridae,,17541
,Platyplectrurus madurensis,BEDDOME 1877,"Platyplectrurus madurensis madurensis BEDDOME 1877
Platyplectrurus madurensis ruhunae DERANIYAGALA 1954",Serpentes,Uropeltidae,,17542
x,Platyplectrurus trilineatus,(BEDDOME 1867),,Serpentes,Uropeltidae,,17543
,Platysaurus attenboroughi,"WHITING, BRANCH, PEPPER & KEOGH 2015",,Sauria,Cordylidae,,20193
,Platysaurus broadleyi,BRANCH & WHITING 1997,,Sauria,Cordylidae,,17544
x,Platysaurus capensis,SMITH 1844,,Sauria,Cordylidae,,17545
,Platysaurus guttatus,SMITH 1849,,Sauria,Cordylidae,,17546
,Platysaurus imperator,BROADLEY 1962,,Sauria,Cordylidae,,17547
,Platysaurus intermedius,MATSCHIE 1891,"Platysaurus intermedius intermedius MATSCHIE 1891
Platysaurus intermedius inopinus JACOBSEN 1994
Platysaurus intermedius natalensis FITZSIMONS 1948
Platysaurus intermedius nigrescens BROADLEY 1981
Platysaurus intermedius nyasae LOVERIDGE 1953
Platysaurus intermedius parvus BROADLEY 1976
Platysaurus intermedius rhodesianus FITZSIMONS 1941
Platysaurus intermedius subniger BROADLEY 1962
Platysaurus intermedius wilhelmi HEWITT 1909",Sauria,Cordylidae,,17548
,Platysaurus lebomboensis,JACOBSEN 1994,,Sauria,Cordylidae,,17549
,Platysaurus maculatus,BROADLEY 1965,"Platysaurus maculatus maculatus BROADLEY 1965
Platysaurus maculatus lineicauda BROADLEY 1965",Sauria,Cordylidae,,17550
,Platysaurus minor,FITZSIMONS 1930,,Sauria,Cordylidae,,17551
,Platysaurus mitchelli,LOVERIDGE 1953,,Sauria,Cordylidae,,17552
,Platysaurus monotropis,JACOBSEN 1994,,Sauria,Cordylidae,,17553
,Platysaurus ocellatus,BROADLEY 1962,,Sauria,Cordylidae,,17554
,Platysaurus orientalis,FITZSIMONS 1941,"Platysaurus orientalis orientalis FITZSIMONS 1941
Platysaurus orientalis fitzsimonsi LOVERIDGE 1944",Sauria,Cordylidae,,17555
,Platysaurus pungweensis,BROADLEY 1959,"Platysaurus pungweensis pungweensis BROADLEY 1959
Platysaurus pungweensis blakei BROADLEY 1964",Sauria,Cordylidae,,17556
,Platysaurus relictus,BROADLEY 1976,,Sauria,Cordylidae,,17557
,Platysaurus torquatus,PETERS 1879,,Sauria,Cordylidae,,17558
x,Platysternon megacephalum,GRAY 1831,"Platysternon megacephalum megacephalum GRAY 1831
Platysternon megacephalum peguense GRAY 1870
Platysternon megacephalum shiui ERNST & MCCORD 1987",Testudines,Platysternidae,,17559
,Plectrurus aureus,BEDDOME 1880,,Serpentes,Uropeltidae,,17560
,Plectrurus guentheri,BEDDOME 1863,,Serpentes,Uropeltidae,,17562
x,Plectrurus perroteti,"DUMÉRIL, BIBRON  & DUMÉRIL 1854",,Serpentes,Uropeltidae,,17563
x,Plesiodipsas perijanensis,(ALEMAN 1953),,Serpentes,Colubridae,,17564
,Plestiodon anthracinus,BAIRD 1849,"Plestiodon anthracinus anthracinus (BAIRD 1849)
Plestiodon anthracinus pluvialis (COPE 1880)",Sauria,Scincidae,,17565
,Plestiodon barbouri,(VAN DENBURGH 1912),,Sauria,Scincidae,,17566
,Plestiodon bilineatus,(TANNER 1958),,Sauria,Scincidae,,17567
,Plestiodon brevirostris,(GÜNTHER 1860),"Plestiodon brevirostris brevirostris (GÜNTHER 1860)
Plestiodon brevirostris pineus (AXTELL 1960)",Sauria,Scincidae,,17568
,Plestiodon callicephalus,(BOCOURT 1879),,Sauria,Scincidae,,17569
,Plestiodon capito,(BOCOURT 1879),,Sauria,Scincidae,,17570
,Plestiodon chinensis,(GRAY 1838),"Plestiodon chinensis chinensis (GRAY 1838)
Plestiodon chinensis daishanensis (MAO 1983)
Plestiodon chinensis formosensis VAN DENBURGH 1912
Plestiodon chinensis pulcher DUMÉRIL & BIBRON 1839",Sauria,Scincidae,,17571
