tax_id,Order,MSWFamilyLatin,Scientific,MSW3_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel
16689,Rodentia,Cricetidae,Peromyscus simulus,1595,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16690,Rodentia,Cricetidae,Peromyscus slevini,1592,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,32.87,Ref_178,2
16691,Rodentia,Cricetidae,Peromyscus spicilegus,1591,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,36,Ref_117,1
16692,Rodentia,Cricetidae,Peromyscus stephani,1582,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,32.17,Ref_178,2
16693,Rodentia,Cricetidae,Peromyscus stirtoni,1589,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,29.2,Ref_117,1
16694,Rodentia,Cricetidae,Peromyscus truei,1593,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,27.35,Ref_117,1
16695,Rodentia,Cricetidae,Peromyscus winkelmanni,1587,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,53.75,Ref_117,1
16696,Rodentia,Cricetidae,Peromyscus yucatanicus,1586,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,26.3,Ref_117,1
16697,Rodentia,Cricetidae,Peromyscus zarhynchus,1585,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16707,Chiroptera,Emballonuridae,Peropteryx kappleri,4222,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,A,A,,1,0,0,Ref_1,ABC,9.42,Ref_117,1
16708,Chiroptera,Emballonuridae,Peropteryx leucoptera,4225,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,A,A,,1,0,0,Ref_1,ABC,6,Ref_117,1
16709,Chiroptera,Emballonuridae,Peropteryx macrotis,4223,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,A,A,,1,0,0,Ref_1,ABC,5.42,Ref_117,1
16710,Peramelemorphia,Peramelidae,Peroryctes broadbenti,184,60,0,0,0,0,0,40,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,4800,Ref_117,1
16711,Peramelemorphia,Peramelidae,Peroryctes raffrayana,183,60,0,0,0,0,0,40,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,838.5,Ref_117,1
16714,Rodentia,Sciuridae,Petaurillus emiliae,910,20,0,20,0,0,0,0,0,20,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,13.5,Ref_117,1
16715,Rodentia,Sciuridae,Petaurillus hosei,908,20,0,20,0,0,0,0,0,20,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,21.1,Ref_117,1
16716,Rodentia,Sciuridae,Petaurillus kinlochii,909,20,0,20,0,0,0,0,0,20,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16718,Rodentia,Sciuridae,Petaurista alborufus,912,10,0,0,0,0,0,30,0,30,30,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,4290,Ref_117,1
16719,Rodentia,Sciuridae,Petaurista elegans,913,10,0,0,0,0,0,30,0,30,30,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,997,Ref_117,1
16720,Rodentia,Sciuridae,Petaurista leucogenys,911,10,0,0,0,0,0,30,0,30,30,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1150,Ref_125,1
16721,Rodentia,Sciuridae,Petaurista magnificus,914,10,0,0,0,0,0,30,0,30,30,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1475.5,Ref_117,1
16722,Rodentia,Sciuridae,Petaurista nobilis,918,10,0,0,0,0,0,30,0,30,30,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,2710,Ref_117,1
16723,Rodentia,Sciuridae,Petaurista petaurista,915,10,0,0,0,0,0,30,0,30,30,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1660.13,Ref_117,1
16724,Rodentia,Sciuridae,Petaurista philippensis,916,10,0,0,0,0,0,30,0,30,30,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1676,Ref_117,1
16725,Rodentia,Sciuridae,Petaurista xanthotis,917,10,0,0,0,0,0,30,0,30,30,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1900,Ref_117,1
16726,Diprotodontia,Petauridae,Petaurus abidi,252,40,0,0,0,10,0,0,30,20,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,278,Ref_117,1
16727,Diprotodontia,Petauridae,Petaurus gracilis,256,40,0,0,0,10,0,0,30,20,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,353,Ref_117,1
16728,Diprotodontia,Petauridae,Petaurus norfolcensis,254,40,0,0,0,10,0,0,30,20,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,230,Ref_117,1
16730,Diprotodontia,Petauridae,Petaurus australis,255,40,0,0,0,10,0,0,30,20,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,575,Ref_117,1
16731,Diprotodontia,Petauridae,Petaurus breviceps,253,40,0,0,0,10,0,0,30,20,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,106.28,Ref_117,1
16732,Diprotodontia,Petauridae,Petaurus biacensis,257,40,0,0,0,10,0,0,30,20,0,Ref_2,D1,Ar,A,,1,0,0,Ref_1,ABC,90.98,Ref_58,1
16733,Rodentia,Sciuridae,Petinomys crinitus,919,0,0,0,0,0,0,30,0,30,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,113,Ref_117,1
16734,Rodentia,Sciuridae,Petinomys fuscocapillus,926,0,0,0,0,0,0,30,0,30,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,794.5,Ref_117,1
16735,Rodentia,Sciuridae,Petinomys genibarbis,927,0,0,0,0,0,0,30,0,30,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,110,Ref_117,1
16736,Rodentia,Sciuridae,Petinomys hageni,925,0,0,0,0,0,0,30,0,30,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,388,Ref_117,1
