"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","PelagicSpecialist"
"Conirostrum speciosum","bird","Passeriformes","Thraupidae",7,"tmax",-0.576599976125158,-0.657354239196706,0.25,0
"Conopophaga castaneiceps","bird","Passeriformes","Conopophagidae",6,"tmax",0.64351550321329,0.764151037236334,0.333333333333333,0
"Conopophaga lineata","bird","Passeriformes","Conopophagidae",5,"tmax",0.469521476175302,0.509456313012841,0.5,0
"Contopus cinereus","bird","Passeriformes","Tyrannidae",6,"tmax",0.34241726593856,0.356828305107309,0.333333333333333,0
"Contopus cooperi","bird","Passeriformes","Tyrannidae",21,"tmax",-0.00735044658315202,-0.00735057896669554,0.0555555555555556,0
"Contopus fumigatus","bird","Passeriformes","Tyrannidae",7,"tmax",-0.198034177196577,-0.20068565740652,0.25,0
"Contopus sordidulus","bird","Passeriformes","Tyrannidae",38,"tmax",-0.0422620131431902,-0.0422872012219431,0.0285714285714286,0
"Contopus virens","bird","Passeriformes","Tyrannidae",24,"tmax",0.0676710242242078,0.0677746058065021,0.0476190476190476,0
"Copsychus luzoniensis","bird","Passeriformes","Muscicapidae",7,"tmax",-0.0756311946452217,-0.0757758970303577,0.25,0
"Copsychus saularis","bird","Passeriformes","Muscicapidae",7,"tmax",-0.11911497365591,-0.119683167992152,0.25,0
"Coracias caudatus","bird","Coraciiformes","Coraciidae",6,"tmax",0.741074970967962,0.952859722127871,0.333333333333333,0
"Corapipo gutturalis","bird","Passeriformes","Pipridae",6,"tmax",0.0511624814395602,0.0512071926442772,0.333333333333333,0
"Cormobates leucophaea","bird","Passeriformes","Climacteridae",8,"tmax",-0.801399708265749,-1.10251251841854,0.2,0
"Corvus brachyrhynchos","bird","Passeriformes","Corvidae",85,"tmax",-0.460742147327113,-0.498253029131597,0.0121951219512195,0
"Corvus caurinus","bird","Passeriformes","Corvidae",15,"tmax",-0.176830607695373,-0.178709087869327,0.0833333333333333,0
"Corvus corax","bird","Passeriformes","Corvidae",22,"tmax",-0.570638334592428,-0.64846889578899,0.0526315789473684,0
"Corvus cryptoleucus","bird","Passeriformes","Corvidae",5,"tmax",0.3,0.309519604203112,0.5,0
"Coryphospingus cucullatus","bird","Passeriformes","Thraupidae",14,"tmax",-0.570142017182851,-0.647733234719189,0.0909090909090909,0
"Corythopis delalandi","bird","Passeriformes","Tyrannidae",7,"tmax",0.0251722431317667,0.0251775618827095,0.25,0
"Corythopis torquatus","bird","Passeriformes","Tyrannidae",10,"tmax",-0.332081846783005,-0.345166327420395,0.142857142857143,0
"Cossypha caffra","bird","Passeriformes","Muscicapidae",12,"tmax",0.0169565766741122,0.0169582021038861,0.111111111111111,0
"Cossypha heuglini","bird","Passeriformes","Muscicapidae",6,"tmax",-0.487386503020017,-0.532626845000813,0.333333333333333,0
"Cossypha natalensis","bird","Passeriformes","Muscicapidae",10,"tmax",-0.196530695770692,-0.199121289891771,0.142857142857143,0
"Cossypha niveicapilla","bird","Passeriformes","Muscicapidae",6,"tmax",-0.791453712688833,-1.07531084056843,0.333333333333333,0
"Cossypha semirufa","bird","Passeriformes","Muscicapidae",5,"tmax",-0.0901567472249619,-0.0904022173506809,0.5,0
"Cracticus quoyi","bird","Passeriformes","Artamidae",9,"tmax",0.398571135231482,0.421949055683521,0.166666666666667,0
"Cranioleuca albicapilla","bird","Passeriformes","Furnariidae",9,"tmax",0.492791332518419,0.539740266012604,0.166666666666667,0
"Cranioleuca antisiensis","bird","Passeriformes","Furnariidae",9,"tmax",-0.0872045967297286,-0.0874266640967428,0.166666666666667,0
"Cranioleuca pyrrhophia","bird","Passeriformes","Furnariidae",9,"tmax",-0.663902191802303,-0.799759313629564,0.166666666666667,0
"Crateroscelis murina","bird","Passeriformes","Pardalotidae",9,"tmax",-0.196486883654471,-0.199075717984229,0.166666666666667,0
"Crateroscelis robusta","bird","Passeriformes","Pardalotidae",13,"tmax",-0.340846115187157,-0.355049551532263,0.1,0
"Criniger calurus","bird","Passeriformes","Pycnonotidae",7,"tmax",0.180259037960191,0.18225041333152,0.25,0
"Crotophaga ani","bird","Cuculiformes","Cuculidae",17,"tmax",0.1806419485353,0.182646212060951,0.0714285714285714,0
"Crotophaga sulcirostris","bird","Cuculiformes","Cuculidae",10,"tmax",0.47580218555859,0.517543926997985,0.142857142857143,0
"Crypturellus obsoletus","bird","Tinamiformes","Tinamidae",5,"tmax",0.3,0.309519604203111,0.5,0
"Cuculus canorus","bird","Cuculiformes","Cuculidae",6,"tmax",0.714285714285714,0.895879734614028,0.333333333333333,0
"Culicicapa ceylonensis","bird","Passeriformes","Muscicapidae",9,"tmax",-0.262692480754115,-0.268998273117516,0.166666666666667,0
"Cyanerpes caeruleus","bird","Passeriformes","Thraupidae",8,"tmax",-0.447244052989937,-0.481249897570328,0.2,0
"Cyanerpes cyaneus","bird","Passeriformes","Thraupidae",11,"tmax",-0.687829066960603,-0.843823753142989,0.125,0
"Cyanistes caeruleus","bird","Passeriformes","Paridae",11,"tmax",-0.285823873547474,-0.294012665494082,0.125,NA
"Cyanocitta cristata","bird","Passeriformes","Corvidae",77,"tmax",-0.295160535650197,-0.304209932731656,0.0135135135135135,0
"Cyanocitta stelleri","bird","Passeriformes","Corvidae",55,"tmax",-0.33136733633468,-0.344363469464382,0.0192307692307692,0
"Cyanocompsa cyanoides","bird","Passeriformes","Cardinalidae",13,"tmax",-0.057755240639012,-0.0578195869034182,0.1,0
"Cyanocompsa parellina","bird","Passeriformes","Cardinalidae",8,"tmax",-0.650427405602649,-0.776039158826535,0.2,0
"Cyanocorax chrysops","bird","Passeriformes","Corvidae",6,"tmax",-0.353181725967106,-0.369074276106342,0.333333333333333,0
"Cyanocorax cyanomelas","bird","Passeriformes","Corvidae",5,"tmax",-0.350240999411319,-0.365718423884735,0.5,0
"Cyanocorax melanocyaneus","bird","Passeriformes","Corvidae",6,"tmax",-0.177888833021912,-0.179801682481146,0.333333333333333,0
"Cyanocorax yncas","bird","Passeriformes","Corvidae",14,"tmax",-0.431652211374177,-0.461925456806348,0.0909090909090909,0
"Cyanoderma ruficeps","bird","Passeriformes","Timaliidae",9,"tmax",0.348658677314064,0.363915997571281,0.166666666666667,NA
"Cyanolyca viridicyanus","bird","Passeriformes","Corvidae",6,"tmax",0.372678384032396,0.391529890920196,0.333333333333333,0
"Cyclarhis gujanensis","bird","Passeriformes","Vireonidae",21,"tmax",-0.107606213865504,-0.108024451024306,0.0555555555555556,0
"Cygnus olor","bird","Anseriformes","Anatidae",6,"tmax",0.485714285714286,0.530435980342631,0.333333333333333,0
"Cynanthus latirostris","bird","Apodiformes","Trochilidae",5,"tmax",-0.670820393249937,-0.812233259624081,0.5,0
"Cyornis hainanus","bird","Passeriformes","Muscicapidae",5,"tmax",0.179935476215086,0.181916005042905,0.5,0
"Cyornis herioti","bird","Passeriformes","Muscicapidae",5,"tmax",0.313535384746573,0.324461433929908,0.5,0
"Cyphorhinus arada","bird","Passeriformes","Troglodytidae",9,"tmax",0.556399418488225,0.627602900558308,0.166666666666667,0
"Cyrtonyx montezumae","bird","Galliformes","Odontophoridae",9,"tmax",-0.709640915482957,-0.88646012850601,0.166666666666667,0
"Dacelo gaudichaud","bird","Coraciiformes","Alcedinidae",8,"tmax",0.30952380952381,0.320018677622998,0.2,0
"Dacnis cayana","bird","Passeriformes","Thraupidae",13,"tmax",-0.592513807515413,-0.681531004557313,0.1,0
"Deconychura longicauda","bird","Passeriformes","Furnariidae",9,"tmax",-0.147278361012646,-0.1483573056929,0.166666666666667,0
"Delichon urbicum","bird","Passeriformes","Hirundinidae",6,"tmax",0.842933737927671,1.23122311796076,0.333333333333333,0
"Dendragapus canadensis","bird","Galliformes","Phasianidae",5,"tmax",-0.989097392878593,-2.60321714866055,0.5,0
"Dendragapus obscurus","bird","Galliformes","Phasianidae",11,"tmax",0.207488672463403,0.210545602714589,0.125,0
"Dendrocincla fuliginosa","bird","Passeriformes","Furnariidae",22,"tmax",0.140864019147468,0.141806977526934,0.0526315789473684,0
"Dendrocincla homochroa","bird","Passeriformes","Furnariidae",7,"tmax",0.361222195857888,0.378290789514827,0.25,0
"Dendrocincla merula","bird","Passeriformes","Furnariidae",5,"tmax",-0.0341401580736091,-0.0341534313821623,0.5,0
"Dendrocolaptes certhia","bird","Passeriformes","Furnariidae",13,"tmax",-0.0587637593984121,-0.0588315404916041,0.1,0
"Dendrocolaptes picumnus","bird","Passeriformes","Furnariidae",7,"tmax",-0.278152337763521,-0.285678352731764,0.25,0
"Dendrocolaptes platyrostris","bird","Passeriformes","Furnariidae",8,"tmax",-0.208016090420638,-0.211096811435155,0.2,0
"Dendrocopos major","bird","Piciformes","Picidae",10,"tmax",-0.752604906107579,-0.978935924428196,0.142857142857143,0
"Dendrocopos medius","bird","Piciformes","Picidae",11,"tmax",-0.220112996424755,-0.223774855740239,0.125,0
"Dendrocopos minor","bird","Piciformes","Picidae",5,"tmax",-0.196242902004454,-0.198821951299735,0.5,0
"Dendrocygna viduata","bird","Anseriformes","Anatidae",5,"tmax",-0.397460852137725,-0.420629776448147,0.5,0
"Dendroica graciae","bird","Passeriformes","Parulidae",11,"tmax",-0.576899101030209,-0.657802460439536,0.125,0
"Dendroica occidentalis","bird","Passeriformes","Parulidae",5,"tmax",0.637065448217406,0.753219018633586,0.5,0
"Dendropicos fuscescens","bird","Piciformes","Picidae",9,"tmax",-0.674665132614418,-0.81925674519336,0.166666666666667,0
"Dicaeum australe","bird","Passeriformes","Dicaeidae",5,"tmax",-0.570727606714356,-0.648601283967917,0.5,0
"Dicaeum hypoleucum","bird","Passeriformes","Dicaeidae",7,"tmax",0.488993709666997,0.534736954081282,0.25,0
"Dicaeum trigonostigma","bird","Passeriformes","Dicaeidae",9,"tmax",0.046280593910847,0.0463136791394136,0.166666666666667,0
"Dicrurus adsimilis","bird","Passeriformes","Dicruridae",9,"tmax",-0.734275040935607,-0.93794148792582,0.166666666666667,0
"Dicrurus hottentottus","bird","Passeriformes","Dicruridae",16,"tmax",0.513376028712663,0.567303261410392,0.0769230769230769,0
"Diglossa albilatera","bird","Passeriformes","Thraupidae",6,"tmax",-0.329718793555229,-0.342512715000472,0.333333333333333,0
"Diglossa baritula","bird","Passeriformes","Thraupidae",8,"tmax",0.368982793494863,0.387245062871822,0.2,0
"Diglossa brunneiventris","bird","Passeriformes","Thraupidae",23,"tmax",0.0162518986696548,0.0162533297364169,0.05,0
"Diglossa caerulescens","bird","Passeriformes","Thraupidae",6,"tmax",0.598012812531648,0.690047964003424,0.333333333333333,0
"Diglossa cyanea","bird","Passeriformes","Thraupidae",18,"tmax",-0.0752231612465828,-0.0753655289354467,0.0666666666666667,0
"Diglossa humeralis","bird","Passeriformes","Thraupidae",5,"tmax",0.987113675427582,2.51913590605193,0.5,0
"Diglossa mystacalis","bird","Passeriformes","Thraupidae",7,"tmax",0.0115351413169028,0.0115356529777407,0.25,0
"Diglossa sittoides","bird","Passeriformes","Thraupidae",15,"tmax",0.185499244099894,0.187671955894045,0.0833333333333333,0
"Dixiphia pipra","bird","Passeriformes","Pipridae",17,"tmax",-0.710475885816225,-0.888144158531427,0.0714285714285714,NA
"Dolichonyx oryzivorus","bird","Passeriformes","Icteridae",19,"tmax",0.109124612328469,0.109560892323087,0.0625,0
"Donacobius atricapilla","bird","Passeriformes","Donacobiidae",5,"tmax",-0.460839565598157,-0.498376707893367,0.5,0
"Doryfera ludovicae","bird","Apodiformes","Trochilidae",7,"tmax",-0.0450915411474585,-0.0451221392323912,0.25,0
"Drymornis bridgesii","bird","Passeriformes","Furnariidae",6,"tmax",-0.578711362656245,-0.660523000915256,0.333333333333333,0
"Dryocopus lineatus","bird","Piciformes","Picidae",6,"tmax",-0.216936362691969,-0.220438917460126,0.333333333333333,0
"Dryocopus pileatus","bird","Piciformes","Picidae",27,"tmax",-0.182932270210987,-0.185014808874003,0.0416666666666667,0
"Dryoscopus cubla","bird","Passeriformes","Malaconotidae",17,"tmax",0.170874039191025,0.17256685213526,0.0714285714285714,0
"Dumetella carolinensis","bird","Passeriformes","Mimidae",93,"tmax",0.066820516010075,0.0669202340764374,0.0111111111111111,0
"Dysithamnus leucostictus","bird","Passeriformes","Thamnophilidae",5,"tmax",-0.930717397266129,-1.66372654469123,0.5,0
"Dysithamnus mentalis","bird","Passeriformes","Thamnophilidae",16,"tmax",-0.533407471829756,-0.594895648862893,0.0769230769230769,0
"Egretta caerulea","bird","Pelecaniformes","Ardeidae",6,"tmax",0.0678928246765308,0.0679974300008458,0.333333333333333,0
"Egretta thula","bird","Pelecaniformes","Ardeidae",8,"tmax",0.0903237972294133,0.0905706388635766,0.2,0
"Elaenia albiceps","bird","Passeriformes","Tyrannidae",15,"tmax",0.0361544595830946,0.0361702249892731,0.0833333333333333,0
"Elaenia chiriquensis","bird","Passeriformes","Tyrannidae",9,"tmax",-0.192384964183642,-0.194812623925098,0.166666666666667,0
"Elaenia cristata","bird","Passeriformes","Tyrannidae",5,"tmax",-0.719427022797826,-0.906456264312366,0.5,0
"Elaenia flavogaster","bird","Passeriformes","Tyrannidae",16,"tmax",-0.552256427525076,-0.621622112671544,0.0769230769230769,0
"Elaenia obscura","bird","Passeriformes","Tyrannidae",12,"tmax",0.442891769794558,0.475822511067958,0.111111111111111,0
"Elaenia pallatangae","bird","Passeriformes","Tyrannidae",11,"tmax",0.354069367555638,0.370088782918675,0.125,0
"Elaenia parvirostris","bird","Passeriformes","Tyrannidae",13,"tmax",-0.319954422140075,-0.331596332056969,0.1,0
"Elaenia ruficeps","bird","Passeriformes","Tyrannidae",7,"tmax",0.147390434612515,0.148471866104415,0.25,0
"Elanus leucurus","bird","Accipitriformes","Accipitridae",12,"tmax",0.357703544377405,0.37425000759378,0.111111111111111,0
"Emberiza cirlus","bird","Passeriformes","Emberizidae",8,"tmax",0.0782069325189503,0.0783669665431972,0.2,0
"Emberiza citrinella","bird","Passeriformes","Emberizidae",5,"tmax",-0.3,-0.309519604203112,0.5,0
"Emberiza elegans","bird","Passeriformes","Emberizidae",10,"tmax",-0.091590096476968,-0.0918475019882678,0.142857142857143,0
"Emberiza schoeniclus","bird","Passeriformes","Emberizidae",7,"tmax",-0.0148629284993485,-0.0148640230843157,0.25,0
"Emberiza spodocephala","bird","Passeriformes","Emberizidae",14,"tmax",-0.033137070330955,-0.0331492072186791,0.0909090909090909,0
"Emberiza tahapisi","bird","Passeriformes","Emberizidae",7,"tmax",-0.915220079403875,-1.55876454482274,0.25,0
"Emberizoides herbicola","bird","Passeriformes","Thraupidae",7,"tmax",-0.344004721051735,-0.358627720785621,0.25,0
"Emberizoides ypiranganus","bird","Passeriformes","Thraupidae",5,"tmax",0.425274037652449,0.454113020683359,0.5,0
"Empidonax alnorum","bird","Passeriformes","Tyrannidae",28,"tmax",-0.1734372089089,-0.175208309834088,0.04,0
"Empidonax difficilis","bird","Passeriformes","Tyrannidae",24,"tmax",-0.209518712143534,-0.212667907905633,0.0476190476190476,0
"Empidonax flavescens","bird","Passeriformes","Tyrannidae",9,"tmax",-0.11314461366687,-0.113631171031411,0.166666666666667,0
"Empidonax flaviventris","bird","Passeriformes","Tyrannidae",24,"tmax",-0.561686380544699,-0.635293424616797,0.0476190476190476,0
"Empidonax hammondii","bird","Passeriformes","Tyrannidae",28,"tmax",-0.430829837690832,-0.460915208287904,0.04,0
"Empidonax minimus","bird","Passeriformes","Tyrannidae",40,"tmax",-0.338105036371547,-0.351951430996159,0.027027027027027,0
"Empidonax oberholseri","bird","Passeriformes","Tyrannidae",14,"tmax",-0.160222753998494,-0.161615310817844,0.0909090909090909,0
"Empidonax occidentalis","bird","Passeriformes","Tyrannidae",17,"tmax",-0.158505374737564,-0.159853178368226,0.0714285714285714,0
"Empidonax traillii","bird","Passeriformes","Tyrannidae",23,"tmax",0.0265929734579495,0.0265992448474686,0.05,0
"Empidonax virescens","bird","Passeriformes","Tyrannidae",10,"tmax",0.1635674271727,0.165050011103128,0.142857142857143,0
"Empidonax wrightii","bird","Passeriformes","Tyrannidae",11,"tmax",-0.0745345592404075,-0.0746730442478755,0.125,0
"Enicurus leschenaulti","bird","Passeriformes","Muscicapidae",5,"tmax",-0.211820568250741,-0.215076670234552,0.5,0
"Ensifera ensifera","bird","Apodiformes","Trochilidae",7,"tmax",0.00257367762747226,0.00257368331001773,0.25,0
"Entomodestes leucotis","bird","Passeriformes","Turdidae",6,"tmax",0.1852416729398,0.187405219066203,0.333333333333333,0
"Eopsaltria australis","bird","Passeriformes","Petroicidae",5,"tmax",0.432148684925811,0.462535778584018,0.5,0
"Epinecrophylla gutturalis","bird","Passeriformes","Thamnophilidae",10,"tmax",-0.323049652334591,-0.33504838250141,0.142857142857143,NA
"Eremophila alpestris","bird","Passeriformes","Alaudidae",71,"tmax",-0.351550172926885,-0.367211427902632,0.0147058823529412,0
"Eremopsaltria mongolica","bird","Passeriformes","Fringillidae",5,"tmax",-0.216390308792596,-0.219865967555746,0.5,NA
"Eriocnemis luciani","bird","Apodiformes","Trochilidae",6,"tmax",0.0226356257482259,0.0226394928873821,0.333333333333333,0
"Erithacus rubecula","bird","Passeriformes","Muscicapidae",15,"tmax",0.173082403131152,0.174842523527378,0.0833333333333333,0
"Erythropygia leucophrys","bird","Passeriformes","Muscicapidae",6,"tmax",0.570627669544037,0.648453081143857,0.333333333333333,0
"Erythropygia paena","bird","Passeriformes","Muscicapidae",5,"tmax",0.160503320991656,0.161903283403594,0.5,0
"Erythropygia quadrivirgata","bird","Passeriformes","Muscicapidae",8,"tmax",-0.1761150912398,-0.177970572025493,0.2,0
"Erythrura papuana","bird","Passeriformes","Passeridae",5,"tmax",0.129011711635535,0.129734703493844,0.5,0
"Erythrura trichroa","bird","Passeriformes","Passeridae",13,"tmax",0.0378040403877759,0.037822065003866,0.1,0
"Estrilda astrild","bird","Passeriformes","Estrildidae",6,"tmax",-0.0169521188264205,-0.016953742974418,0.333333333333333,0
"Estrilda melpoda","bird","Passeriformes","Estrildidae",6,"tmax",-0.655487566488205,-0.784860332629313,0.333333333333333,0
"Eubucco versicolor","bird","Piciformes","Ramphastidae",8,"tmax",0.17748129078318,0.179380853841934,0.2,0
"Eugenes fulgens","bird","Apodiformes","Trochilidae",12,"tmax",-0.393148345368991,-0.415518545708211,0.111111111111111,0
"Eulampis jugularis","bird","Apodiformes","Trochilidae",5,"tmax",0.544662394353313,0.610760758113937,0.5,0
"Eumomota superciliosa","bird","Coraciiformes","Momotidae",5,"tmax",0.8,1.09861228866811,0.5,0
"Eumyias thalassinus","bird","Passeriformes","Muscicapidae",6,"tmax",-0.679956203269592,-0.829032575681969,0.333333333333333,0
"Euphagus carolinus","bird","Passeriformes","Icteridae",9,"tmax",0.371830402233253,0.390545498482889,0.166666666666667,0
"Euphagus cyanocephalus","bird","Passeriformes","Icteridae",40,"tmax",-0.0775773958431373,-0.0777335870124812,0.027027027027027,0
"Euphonia laniirostris","bird","Passeriformes","Fringillidae",7,"tmax",-0.255627675410593,-0.261424760187185,0.25,0
"Euphonia xanthogaster","bird","Passeriformes","Fringillidae",14,"tmax",-0.18719990567663,-0.189433800045585,0.0909090909090909,0
"Euplectes afer","bird","Passeriformes","Ploceidae",5,"tmax",-0.75104094428999,-0.975338633671712,0.5,0
"Euplectes ardens","bird","Passeriformes","Ploceidae",8,"tmax",0.160007846142165,0.161394748422447,0.2,0
"Euplectes capensis","bird","Passeriformes","Ploceidae",9,"tmax",-0.0449268890753806,-0.0449571529258197,0.166666666666667,0
"Euplectes franciscanus","bird","Passeriformes","Ploceidae",9,"tmax",-0.478544468191309,-0.521094707187643,0.166666666666667,0
"Euplectes hordeaceus","bird","Passeriformes","Ploceidae",9,"tmax",-0.14252514611054,-0.143502139275526,0.166666666666667,0
"Euplectes macrourus","bird","Passeriformes","Ploceidae",8,"tmax",-0.311358596947399,-0.322049150085775,0.2,NA
"Eurillas latirostris","bird","Passeriformes","Pycnonotidae",5,"tmax",-0.629867950896977,-0.741197223681766,0.5,NA
"Eurillas virens","bird","Passeriformes","Pycnonotidae",6,"tmax",0.107749047237318,0.108168959900514,0.333333333333333,NA
"Eurystomus orientalis","bird","Coraciiformes","Coraciidae",5,"tmax",0.625953135866238,0.73473418661347,0.5,0
"Euscarthmus meloryphus","bird","Passeriformes","Tyrannidae",6,"tmax",-0.298198689600198,-0.307541314427831,0.333333333333333,0
"Eutoxeres condamini","bird","Apodiformes","Trochilidae",12,"tmax",0.319627133121677,0.33123175961713,0.111111111111111,0
"Falcipennis canadensis","bird","Galliformes","Phasianidae",6,"tmax",-0.0944182019532568,-0.0947002853573982,0.333333333333333,NA
"Falco columbarius","bird","Falconiformes","Falconidae",45,"tmax",-0.0754983263333567,-0.0756422656788611,0.0238095238095238,0
"Falco mexicanus","bird","Falconiformes","Falconidae",17,"tmax",0.673815249286449,0.817698469657031,0.0714285714285714,0
"Falco peregrinus","bird","Falconiformes","Falconidae",16,"tmax",-0.144117647058823,-0.145128038223477,0.0769230769230769,0
"Falco sparverius","bird","Falconiformes","Falconidae",181,"tmax",-0.0186644339668861,-0.0186666017408917,0.00561797752808989,0
"Ficedula hyperythra","bird","Passeriformes","Muscicapidae",14,"tmax",0.428200145433939,0.457690632700564,0.0909090909090909,0
"Ficedula hypoleuca","bird","Passeriformes","Muscicapidae",6,"tmax",-0.597341938917702,-0.689004260234045,0.333333333333333,0
"Ficedula parva","bird","Passeriformes","Muscicapidae",6,"tmax",-0.265034158461145,-0.271515189748525,0.333333333333333,0
"Ficedula strophiata","bird","Passeriformes","Muscicapidae",8,"tmax",-0.183185014412446,-0.18527631631334,0.2,0
"Ficedula tricolor","bird","Passeriformes","Muscicapidae",6,"tmax",-0.686558446624397,-0.841416199697991,0.333333333333333,0
"Florisuga mellivora","bird","Apodiformes","Trochilidae",8,"tmax",0.454128483339182,0.48988919451991,0.2,0
"Fluvicola pica","bird","Passeriformes","Tyrannidae",5,"tmax",0.649248682935994,0.773998822774968,0.5,0
"Formicarius colma","bird","Passeriformes","Formicariidae",8,"tmax",-0.136568379325964,-0.137427051091733,0.2,0
"Formicivora grisea","bird","Passeriformes","Thamnophilidae",8,"tmax",-0.011484860454634,-0.0114853654533639,0.2,0
"Formicivora rufa","bird","Passeriformes","Thamnophilidae",5,"tmax",-0.753210203090548,-0.980333419290312,0.5,0
"Foulehaio carunculatus","bird","Passeriformes","Meliphagidae",10,"tmax",0.41435424918526,0.440856629463232,0.142857142857143,0
"Francolinus sephaena","bird","Galliformes","Phasianidae",6,"tmax",-0.10185434878145,-0.102208780408493,0.333333333333333,0
"Fringilla coelebs","bird","Passeriformes","Fringillidae",33,"tmax",-0.197106411326119,-0.199720206005114,0.0333333333333333,0
"Fulica americana","bird","Gruiformes","Rallidae",35,"tmax",-0.204401727765898,-0.207321927912731,0.03125,0
"Furnarius leucopus","bird","Passeriformes","Furnariidae",6,"tmax",-0.411589965914218,-0.43752397085815,0.333333333333333,0
"Furnarius rufus","bird","Passeriformes","Furnariidae",13,"tmax",-0.796028171354695,-1.08767552245818,0.1,0
"Galbula albirostris","bird","Piciformes","Galbulidae",5,"tmax",0.702692272957122,0.872599123456062,0.5,0
"Galbula cyanescens","bird","Piciformes","Galbulidae",5,"tmax",0.208752368179039,0.211866512733846,0.5,0
"Galbula galbula","bird","Piciformes","Galbulidae",5,"tmax",-0.2908204651164,-0.299462298744775,0.5,0
"Galerida cristata","bird","Passeriformes","Alaudidae",17,"tmax",-0.579946577424119,-0.662382206947322,0.0714285714285714,0
"Gallicolumba beccarii","bird","Columbiformes","Columbidae",6,"tmax",0.297481726796688,0.306754559500133,0.333333333333333,0
"Gallinago delicata","bird","Charadriiformes","Scolopacidae",21,"tmax",-0.381771522065075,-0.402131786004741,0.0555555555555556,NA
"Gallinago gallinago","bird","Charadriiformes","Scolopacidae",21,"tmax",0.0743446378954189,0.0744820646357921,0.0555555555555556,0
"Gallinago paraguaiae","bird","Charadriiformes","Scolopacidae",7,"tmax",-0.189138283082471,-0.19144333085224,0.25,0
"Gallinula chloropus","bird","Gruiformes","Rallidae",20,"tmax",0.0553527139249123,0.0554093502289644,0.0588235294117647,0
"Gallinula galeata","bird","Gruiformes","Rallidae",5,"tmax",-0.0999999999999999,-0.100335347731075,0.5,NA
"Garrulus glandarius","bird","Passeriformes","Corvidae",9,"tmax",-0.236258243094699,-0.240807416615806,0.166666666666667,0
"Gavia immer","bird","Gaviiformes","Gaviidae",18,"tmax",-0.427184298433255,-0.456447366441531,0.0666666666666667,0
"Gavia pacifica","bird","Gaviiformes","Gaviidae",9,"tmax",-0.495185319906395,-0.542907023066169,0.166666666666667,0
"Gavia stellata","bird","Gaviiformes","Gaviidae",8,"tmax",0.220816900149905,0.224514720474764,0.2,0
"Geococcyx californianus","bird","Cuculiformes","Cuculidae",17,"tmax",0.178716077478792,0.180656090120503,0.0714285714285714,0
"Geothlypis aequinoctialis","bird","Passeriformes","Parulidae",13,"tmax",0.100807891835552,0.101151466870991,0.1,0
"Geothlypis trichas","bird","Passeriformes","Parulidae",89,"tmax",-0.164877890165524,-0.166396795858038,0.0116279069767442,0
"Geotrygon montana","bird","Columbiformes","Columbidae",19,"tmax",-0.138068231302201,-0.138955728604299,0.0625,0
"Geranospiza caerulescens","bird","Accipitriformes","Accipitridae",5,"tmax",0.7,0.867300527694053,0.5,0
"Gerygone chrysogaster","bird","Passeriformes","Acanthizidae",5,"tmax",0.148236121776662,0.14933644326815,0.5,0
"Glaucidium brasilianum","bird","Strigiformes","Strigidae",44,"tmax",0.219444237448386,0.223072154402284,0.024390243902439,0
"Glaucidium gnoma","bird","Strigiformes","Strigidae",26,"tmax",-0.00535548840978576,-0.00535553961137842,0.0434782608695652,0
"Glaucidium peruanum","bird","Strigiformes","Strigidae",8,"tmax",-0.179862378853699,-0.181840462862756,0.2,0
"Glaucis hirsutus","bird","Caprimulgiformes","Trochilidae",13,"tmax",0.379309291230413,0.399252617449428,0.1,0
"Glyphorynchus spirurus","bird","Passeriformes","Furnariidae",41,"tmax",-0.0114803728497725,-0.0114808772567316,0.0263157894736842,0
"Grallaria andicolus","bird","Passeriformes","Formicariidae",11,"tmax",0.131067741827981,0.131826100691602,0.125,0
"Grallaria rufula","bird","Passeriformes","Formicariidae",9,"tmax",0.753791266442628,0.981677737497581,0.166666666666667,0
"Grallaria squamigera","bird","Passeriformes","Formicariidae",5,"tmax",-0.6,-0.693147180559945,0.5,0
"Grallaricula nana","bird","Passeriformes","Formicariidae",5,"tmax",-0.638949030885952,-0.756395671760965,0.5,0
"Grus canadensis","bird","Gruiformes","Gruidae",33,"tmax",-0.248237383672957,-0.253533568890065,0.0333333333333333,0
"Gubernetes yetapa","bird","Passeriformes","Tyrannidae",5,"tmax",-0.0334354888260832,-0.0334479567234374,0.5,0
"Gymnopithys rufigula","bird","Passeriformes","Thamnophilidae",10,"tmax",-0.150275876426006,-0.151422674415006,0.142857142857143,0
"Gymnorhinus cyanocephalus","bird","Passeriformes","Corvidae",5,"tmax",0.287376238300776,0.295703952318406,0.5,0
"Habia fuscicauda","bird","Passeriformes","Cardinalidae",6,"tmax",-0.0866174678934509,-0.086835066594932,0.333333333333333,0
"Habia rubica","bird","Passeriformes","Cardinalidae",17,"tmax",-0.297432074376344,-0.306700087350907,0.0714285714285714,0
"Haematopus palliatus","bird","Charadriiformes","Haematopodidae",6,"tmax",-0.657142857142857,-0.787768180379209,0.333333333333333,0
"Halcyon albiventris","bird","Coraciiformes","Alcedinidae",9,"tmax",-0.409190641315974,-0.434638707041644,0.166666666666667,0
"Halcyon leucocephala","bird","Coraciiformes","Alcedinidae",5,"tmax",-0.839648388990753,-1.2199803832418,0.5,0
