"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","Species_ph","SPID"
"Sturnira ludovici","mammal","Chiroptera","Phyllostomidae",21,"npp",0.358986851321101,0.375722384687024,0.0555555555555556,"Sturnira_ludovici","SP499"
"Sturnira luisi","mammal","Chiroptera","Phyllostomidae",5,"npp",0.402264679279778,0.426347894114781,0.5,"Sturnira_luisi","SP500"
"Sturnira tildae","mammal","Chiroptera","Phyllostomidae",8,"npp",-0.370555414012707,-0.389066763678908,0.2,"Sturnira_tildae","SP501"
"Stylodipus sungorus","mammal","Rodentia","Dipodidae",5,"npp",-0.861795058988968,-1.30027936174138,0.5,"Stylodipus_sungorus","SP502"
"Suncus murinus","mammal","Soricomorpha","Soricidae",16,"npp",-0.332403202971274,-0.345527558095866,0.0769230769230769,"Suncus_murinus","SP503"
"Sus scrofa","mammal","Artiodactyla","Suidae",5,"npp",-0.504858508829914,-0.55580529811261,0.5,"Sus_scrofa","SP504"
"Syconycteris australis","mammal","Chiroptera","Pteropodidae",12,"npp",0.569463042462755,0.646727830276031,0.111111111111111,"Syconycteris_australis","SP505"
"Sylvilagus audubonii","mammal","Lagomorpha","Leporidae",102,"npp",-0.00546424132685508,-0.00546429571148033,0.0101010101010101,"Sylvilagus_audubonii","SP506"
"Sylvilagus bachmani","mammal","Lagomorpha","Leporidae",16,"npp",-0.25615106243863,-0.261984819566417,0.0769230769230769,"Sylvilagus_bachmani","SP507"
"Sylvilagus brasiliensis","mammal","Lagomorpha","Leporidae",6,"npp",-0.0288084290911818,-0.0288164026795214,0.333333333333333,"Sylvilagus_brasiliensis","SP508"
"Sylvilagus floridanus","mammal","Lagomorpha","Leporidae",39,"npp",0.170565556952658,0.17224910919687,0.0277777777777778,"Sylvilagus_floridanus","SP509"
"Sylvilagus nuttallii","mammal","Lagomorpha","Leporidae",22,"npp",-0.104153500233337,-0.104532588082272,0.0526315789473684,"Sylvilagus_nuttallii","SP510"
"Synaptomys borealis","mammal","Rodentia","Cricetidae",149,"npp",-0.221308705856146,-0.225031794985207,0.00684931506849315,"Synaptomys_borealis","SP511"
"Synaptomys cooperi","mammal","Rodentia","Cricetidae",5,"npp",-0.854223910981267,-1.27157485152123,0.5,"Synaptomys_cooperi","SP512"
"Tadarida brasiliensis","mammal","Chiroptera","Molossidae",63,"npp",-0.334984618578366,-0.348432439379062,0.0166666666666667,"Tadarida_brasiliensis","SP513"
"Tamias alpinus","mammal","Rodentia","Sciuridae",13,"npp",0.0980009349684762,0.0983164950385017,0.1,"Tamias_alpinus","SP514"
"Tamias amoenus","mammal","Rodentia","Sciuridae",180,"npp",0.0937349487869239,0.0940109311009767,0.00564971751412429,"Tamias_amoenus","SP515"
"Tamias canipes","mammal","Rodentia","Sciuridae",6,"npp",0.301399180958262,0.311057876464933,0.333333333333333,"Tamias_canipes","SP516"
"Tamias cinereicollis","mammal","Rodentia","Sciuridae",27,"npp",0.0331724994094983,0.0331846752851349,0.0416666666666667,"Tamias_cinereicollis","SP517"
"Tamias dorsalis","mammal","Rodentia","Sciuridae",74,"npp",0.299970757130533,0.309487469491503,0.0140845070422535,"Tamias_dorsalis","SP518"
"Tamias merriami","mammal","Rodentia","Sciuridae",9,"npp",-0.23203616433557,-0.236340427385388,0.166666666666667,"Tamias_merriami","SP519"
