"","animal","Class","order","family","Loc","Long","devel","fem","mass","embri","Numcl","Sizecl","Lat","Mig_bi","Mig_multi"
"789","Ovis_ammon","Mammal","Artiodactyla","Bovidae","W",15.8983333344611,134.999999940812,403.000000021487,159999.999325446,169.999999991455,1,1.20000000024725,38.48811031,1,NA
"790","Ovis_canadensis","Mammal","Artiodactyla","Bovidae","W",20.600000004212,152.000000023366,707.000000073123,69125.0000812471,180.000000019762,1,1.02999999975121,40.9265358,1,NA
"791","Ovis_dalli","Mammal","Artiodactyla","Bovidae","W",20.020833332084,131.787879956685,707.000000073123,70194.1301204471,175.245000028526,1,1.05999999986859,63.76634263,1,NA
"792","Philantomba_maxwellii","Mammal","Artiodactyla","Bovidae","W",14.0666666754744,60.8720000076564,486.999999959779,6250.00000168471,193.000000018357,1,1,8.49240477,0,NA
"793","Philantomba_monticola","Mammal","Artiodactyla","Bovidae","W",12.000000002544,27.2800000006749,486.976000217163,4896.05000216251,195.703480085365,1.28999999951808,1,-4.69192096,0,NA
"794","Procapra_gutturosa","Mammal","Artiodactyla","Bovidae","W",6.99999999961281,38.9699999863364,532.629999870174,28274.269921094,189.940000035176,1.0499999998221,1.32999999968923,45.87840238,0,NA
"795","Raphicerus_campestris","Mammal","Artiodactyla","Bovidae","W",9.3166666672909,91.0000000439667,233.810000064778,11333.330002125,198.747080078979,1.4200000005493,1,-20.97527672,0,NA
"796","Redunca_fulvorufula","Mammal","Artiodactyla","Bovidae","W",12.3299999978268,82.1199999876218,388.00000014617,29999.9999806712,222.98999990962,1.10000000021524,1,-15.84394886,0,NA
"797","Rupicapra_pyrenaica","Mammal","Artiodactyla","Bovidae","W",17.5999999992237,76.020000033365,674.000000059105,31633.1749794802,149.720939939686,1,1,42.72500366,1,NA
"798","Rupicapra_rupicapra","Mammal","Artiodactyla","Bovidae","W",17.5999999992237,76.020000033365,674.000000059105,35383.1748707286,149.720939939686,1,1,44.48794581,1,NA
"799","Saiga_tatarica","Mammal","Artiodactyla","Bovidae","W",12.000000002544,86.2565600008434,305.569699950468,37992.0049302617,149.421919977505,1.0499999998221,1.57499999956279,46.59162385,1,NA
"800","Sylvicapra_grimmia","Mammal","Artiodactyla","Bovidae","W",14.3316666638756,125.91499998366,293.140000117504,18499.9999987713,165.000000016404,1.4000000005303,1,-6.33293385,0,NA
"801","Syncerus_caffer","Mammal","Artiodactyla","Bovidae","W",29.4999999897997,288.999999967507,1475.00000033347,646332.987185293,333.354539903207,0.399999999949662,1.07999999985298,-2.72605427,0,NA
"802","Tragelaphus_angasii","Mammal","Artiodactyla","Bovidae","W",15.9999999961635,213.000000061892,452.000000075831,100666.669919318,224.000000032471,1.21000000047353,1,-22.12393212,0,NA
"803","Vicugna_vicugna","Mammal","Artiodactyla","Camelidae","W",26.7333333278701,213.051999921258,729.999999896021,49999.9997794858,345.450000022522,0.699999999957113,1,-18.43701168,0,NA
"804","Alces_alces","Mammal","Artiodactyla","Cervidae","W",26.9999999998831,104.015000050931,711.593679745108,350999.999140751,241.97216260928,1.23499999990127,1.28999999951808,58.75745135,1,NA
"805","Axis_axis","Mammal","Artiodactyla","Cervidae","W",20.8000000060887,121.87200004504,654.840000009076,45499.9997752736,226.744999991956,1.0100000001483,1.02999999975121,20.49005553,0,NA
"806","Capreolus_capreolus","Mammal","Artiodactyla","Cervidae","W",17.2333333359826,89.0000000238396,413.000000016094,21666.6849921317,152.999999939957,1.0499999998221,1.78499999958659,51.59717575,1,NA
"807","Capreolus_pygargus","Mammal","Artiodactyla","Cervidae","W",16.9999999990443,91.6400000380036,413.000000016094,21666.7000071496,195.999999954819,1,1.89500000088233,49.84719218,1,NA
"808","Cervus_elaphus","Mammal","Artiodactyla","Cervidae","W",26.9000000105504,155.999999961072,852.000000145423,160166.665269313,244.401079933292,0.905000000255401,1.03500000029256,50.38658384,1,NA
"809","Cervus_nippon","Mammal","Artiodactyla","Cervidae","W",25.4183333221483,172.572119990692,518.120000175096,52999.9897956853,223.660000089455,1,1,37.50170019,1,NA
"810","Dama_dama","Mammal","Artiodactyla","Cervidae","W",21.0999999898294,182.920360025354,515.139999803801,63612.305288982,233.000000101192,1,1.06999999949302,48.84816664,0,NA
"811","Odocoileus_hemionus","Mammal","Artiodactyla","Cervidae","W",21.9999999921171,74.485639990416,477.999999765084,57000.0001814488,206.999999945069,1,1.61500000052549,45.05113535,1,NA
"812","Odocoileus_virginianus","Mammal","Artiodactyla","Cervidae","W",21.6000000066934,128.999999953344,309.000000031597,65320.0001904469,201.390000076776,1,1.71000000083009,35.31095192,1,NA
"813","Ozotoceros_bezoarticus","Mammal","Artiodactyla","Cervidae","W",21.8749999946695,167.398000074877,365.000000152391,34620.3999072702,220.379999986858,1,1,-17.29719426,0,NA
"814","Rangifer_tarandus","Mammal","Artiodactyla","Cervidae","W",20.1999999917754,120.000000026155,695.166739680797,101249.99949691,222.500000087599,1,1.10000000021524,64.15646654,1,NA
"815","Rucervus_eldii","Mammal","Artiodactyla","Cervidae","W",19.5833333263586,239.835679955855,531.640000237573,95471.6095430538,240.190000046623,1,1.0100000001483,19.01378139,0,NA
"816","Rusa_timorensis","Mammal","Artiodactyla","Cervidae","W",21.0833333346085,228.135000001724,539.021559941236,63000.0002914588,254.700819884335,1,1,-7.8170588,0,NA
"817","Okapia_johnstoni","Mammal","Artiodactyla","Giraffidae","W",32.9999999846062,193.999999987714,726.202960011586,230001.138984594,452.583320096699,0.800000000251368,1,1.32826229,0,NA
"818","Hippopotamus_amphibius","Mammal","Artiodactyla","Hippopotamidae","W",54.5000000180287,334.369999910575,1654.49999940162,2640000.0128766,234.68499989713,0.609999999887016,1,-7.76659187,0,NA
"819","Moschus_moschiferus","Mammal","Artiodactyla","Moschidae","W",12.9458333326724,76.8329999720029,479.81772010621,12907.7850039242,169.071940030396,1,1.61500000052549,53.41026949,0,NA
"820","Hylochoerus_meinertzhageni","Mammal","Artiodactyla","Suidae","W",13.3249999993083,65.650500008795,527.109999782135,200315.235066091,142.307019960816,1.10000000021524,4.34999999956242,4.06649015,0,NA
"821","Sus_barbatus","Mammal","Artiodactyla","Suidae","W",16.1666666622155,105.850000044365,362.49999989316,102749.999757666,121.743999947143,1,3.99999999952044,0.80462036,0,NA
"822","Pecari_tajacu","Mammal","Artiodactyla","Tayassuidae","W",24.7000000090419,50.3706000232256,323.839039926238,20499.9999974068,143.359375062634,2.00000000088011,1.81999999983856,-4.81875789,0,NA
"823","Tragulus_kanchil","Mammal","Artiodactyla","Tragulidae","W",14.0000000053864,86.8665599924993,156.784999988244,3849.99999891496,153.620000065974,1,1,7.10852532,0,NA
"824","Ailurus_fulgens","Mammal","Carnivora","Ailuridae","W",17.5000000012343,136.935000043113,571.903179817865,4747.53999934462,123.437400003885,1,2.00000000088011,28.60568736,0,NA
"825","Canis_adustus","Mammal","Carnivora","Canidae","W",14.0000000053864,61.3000000035453,296.180280005933,10321.2449969648,63.500000006436,1.55000000010671,4.15999999886361,-2.01995293,0,NA
"826","Canis_aureus","Mammal","Carnivora","Canidae","W",15.9999999961635,69.7470400331297,334.000000007782,11000.0000024144,62.3937999710123,1.0499999998221,3.95000000034353,22.50619426,0,NA
"827","Canis_latrans","Mammal","Carnivora","Canidae","W",21.7958333327095,54.9193199902745,313.186439949817,11050.0000005978,62.3937999710123,1,5.60500000266729,48.49948098,0,NA
"828","Canis_lupus","Mammal","Carnivora","Canidae","W",20.0000000089202,47.0000000136272,669.904719787549,29190.7550427372,62.1968999829069,0.819999999773547,4.97999999981792,54.22393708,0,NA
"829","Canis_mesomelas","Mammal","Carnivora","Canidae","W",14.0000000053864,59.9999999866739,309.000000031597,8247.2999997027,62.5000000161027,1,3.95000000034353,-10.48783669,0,NA
"830","Cerdocyon_thous","Mammal","Carnivora","Canidae","W",11.4999999957542,89.9999999702762,276.054519878171,5741.65999936826,56.3065999772234,1.89999999967245,3.99999999952044,-12.65999419,0,NA
"831","Cuon_alpinus","Mammal","Carnivora","Canidae","W",15.9999999961635,57.3300000045697,365.000000152391,15749.999996003,61.500000011533,1.0499999998221,4.30000000129208,22.05466312,0,NA
"832","Lycaon_pictus","Mammal","Carnivora","Canidae","W",15.0583333361917,88.9199999914641,703.754500176206,24249.994995634,71.999999998844,1,7.49500000333857,-9.40014069,0,NA
"833","Nyctereutes_procyonoides","Mammal","Carnivora","Canidae","W",12.4999999961468,48.3450000031177,326.630000065777,4232.00000195461,61.8399999827363,1,6.29999999749583,46.54432457,0,NA
"834","Otocyon_megalotis","Mammal","Carnivora","Canidae","W",13.7999999977484,62.6981599927417,365.231999962645,4149.99999906731,67.9999999880247,2.00000000088011,3.99999999952044,-12.87368698,0,NA
"835","Speothos_venaticus","Mammal","Carnivora","Canidae","W",10.3333333248906,101.175940045379,319.597999983937,5999.99999873885,67.8899999787127,2.00000000088011,4.13000000011175,-7.17373389,0,NA
"836","Urocyon_cinereoargenteus","Mammal","Carnivora","Canidae","W",15.5666666665617,54.9999999872141,344.999999989181,4219.99999987316,61.4800000202641,1,3.89499999874304,32.88713468,0,NA
"837","Urocyon_littoralis","Mammal","Carnivora","Canidae","W",9.2416666706561,60.8720000076564,363.37600005333,1906.83500091151,52.7205999994933,1.0499999998221,2.38499999918837,33.64328176,0,NA
"838","Vulpes_macrotis","Mammal","Carnivora","Canidae","W",15.8833333264701,47.0799999815411,365.000000152391,2087.99999999472,53.7000000260542,1,4.43999999802805,32.83117994,0,NA
"839","Vulpes_velox","Mammal","Carnivora","Canidae","W",15.891666669553,47.0799999815411,365.000000152391,2087.99999999472,53.7000000260542,1,4.43999999802805,44.54804171,0,NA
"840","Vulpes_vulpes","Mammal","Carnivora","Canidae","W",14.9999999984668,49.7099999947018,303.999999876509,4580.29999932916,52.3525000173721,1,4.7324999995204,44.43396231,0,NA
"841","Fossa_fossana","Mammal","Carnivora","Eupleridae","W",11.0000000022179,69.3940799805262,727.999999856812,1853.98000077663,88.2643999729289,1.10000000021524,1,-17.76650973,0,NA
"842","Galidia_elegans","Mammal","Carnivora","Eupleridae","W",18.783333336758,59.270000011869,737.159919676223,800.000000265658,76.1099999787424,1,1,-17.88704733,0,NA
"843","Acinonyx_jubatus","Mammal","Carnivora","Felidae","W",18.9999999968376,106.999999950576,598.984999960663,50577.9201818338,90.1200000392883,0.699999999957113,3.03999999872888,3.19191891,0,NA
"844","Caracal_caracal","Mammal","Carnivora","Felidae","W",18.000000001869,122.000000032543,456.00000022144,14000.0000056365,73.9594800246482,1.10000000021524,3.00000000099567,4.45826535,0,NA
"845","Felis_nigripes","Mammal","Carnivora","Felidae","W",13.7749999994631,67.229999967666,444.999999926023,2124.99999923815,66.9592000215243,3.99999999952044,1.90999999988819,-25.70505794,0,NA
"846","Felis_silvestris","Mammal","Carnivora","Felidae","W",18.000000001869,81.5049999952521,307.832319956538,5036.53999811417,64.7186999985812,2.01999999916551,3.68999999980651,14.7738976,0,NA
"847","Leopardus_geoffroyi","Mammal","Carnivora","Felidae","W",23.0000000016296,68.2404999837948,478.999999803172,3999.99999959189,74.7841000344023,1.31500000048691,2.01999999916551,-33.17138491,0,NA
"848","Leopardus_pardalis","Mammal","Carnivora","Felidae","W",24.7666666652896,106.179999983486,663.504799927466,10499.9999984711,80.3510399620341,1,1.65999999938837,-6.45460259,0,NA
"849","Leptailurus_serval","Mammal","Carnivora","Felidae","W",22.4000000031137,127.831200050672,820.999999628557,11999.959994825,71.8289599747309,2.50000000031461,2.34999999963324,-3.49026794,0,NA
"850","Lynx_canadensis","Mammal","Carnivora","Felidae","W",26.7666666590487,152.000000023366,535.673599808024,9682.81999846464,62.9999999753335,1,3.19000000064836,58.14489694,0,NA
"851","Lynx_lynx","Mammal","Carnivora","Felidae","W",23.6999999966563,87.0000000300512,638.999999758755,21149.9999899659,66.4950000089684,1,2.24999999951326,56.53451798,0,NA
"852","Lynx_rufus","Mammal","Carnivora","Felidae","W",26.8000000129495,81.8500000149668,638.999999758755,9399.99999757391,65.9999999982559,1,2.53000000065924,38.81705816,0,NA
"853","Panthera_leo","Mammal","Carnivora","Felidae","W",26.9999999998831,216.00000006822,1094.99999972559,149061.964856927,108.999999975023,1,2.82500000113451,-4.26676876,0,NA
"854","Panthera_onca","Mammal","Carnivora","Felidae","W",23.0000000016296,126.000000006114,906.152080293659,81149.9997611969,100.745000019773,0.499999999779973,2.00000000088011,-3.83699107,0,NA
"855","Panthera_pardus","Mammal","Carnivora","Felidae","W",23.0000000016296,110.000000022834,936.999999776599,53074.9948744702,97.0000000481718,1,2.13999999992775,11.97057537,0,NA
"856","Panthera_tigris","Mammal","Carnivora","Felidae","W",26.2750000062268,121.000000048794,1268.00000000359,128799.999658372,105.190000026173,0.399999999949662,2.57000000023868,24.68827338,0,NA
"857","Pardofelis_marmorata","Mammal","Carnivora","Felidae","W",23.0000000016296,110.000000022834,936.999999776599,47362.495011457,97.0000000481718,1,2.00000000088011,14.13155868,0,NA
"858","Prionailurus_bengalensis","Mammal","Carnivora","Felidae","W",14.9999999984668,44.7409199953057,563.674720263625,4149.99999906731,66.0461200088076,1.64000000026878,2.50000000031461,25.17524138,0,NA
"859","Puma_concolor","Mammal","Carnivora","Felidae","W",21.8541666778471,89.9999999702762,911.99999993221,48000.0000052787,92.3000000453371,0.470000000130675,2.7600000007478,0.75839653,0,NA
"860","Atilax_paludinosus","Mammal","Carnivora","Herpestidae","W",18.2083333379283,35.99999998358,234.829999975173,3299.99999849991,75.9999999782388,2.00000000088011,2.00000000088011,-2.6467111,0,NA
"861","Cynictis_penicillata","Mammal","Carnivora","Herpestidae","W",15.1833333327585,60.8720000076564,729.999999896021,598.50000000118,56.0022400036306,2.00000000088011,2.00000000088011,-25.58019796,0,NA
"862","Helogale_parvula","Mammal","Carnivora","Herpestidae","W",14.4416666676262,21.0000000058081,423.039999905549,274.799999904316,54.7847999881448,2.24999999951326,3.19000000064836,-7.20995247,0,NA
