"","species","lat.rng"
"323","Caprimulgus europaeus",52.24999791
"324","Caprimulgus rufigena",8.58333299
"325","Capsiempis flaveola",35.66666524
"326","Wilsonia canadensis",60.08333093
"327","Wilsonia pusilla",51.49999794
"328","Cardellina rubrifrons",16.49999934
"329","Cardinalis cardinalis",25.08333233
"330","Cardinalis sinuatus",5.91666643
"331","Cardiocranius paradoxus",2.4999999
"332","Carduelis carduelis",18.3333326
"333","Carduelis chloris",103.58332919
"334","Carollia brevicauda",34.33333196
"335","Carollia carollia",2.66666656
"336","Carollia castanea",29.41666549
"337","Carollia perspicillata",43.41666493
"338","Carollia sowelli",7.24999971
"339","Carollia subrufa",6.83333306
"340","Carpodacus cassinii",15.66666604
"341","Carpodacus erythrinus",28.16666554
"342","Carpodacus mexicanus",31.91666539
"343","Carpodacus purpureus",18.16666594
"344","Casiornis rufus",10.99999956
"345","Castor canadensis",32.4999987
"346","Catamblyrhynchus diadema",8.83333298000001
"347","Catamenia analis",23.66666572
"348","Catamenia inornata",15.16666606
"349","Cathartes aura",64.41666409
"350","Cathartes burrovianus",51.91666459
"351","Catharus aurantiirostris",5.58333311
"352","Catharus dryas",21.99999912
"353","Catharus frantzii",4.33333316
"354","Catharus fuscater",15.24999939
"355","Catharus fuscescens",46.99999812
"356","Catharus guttatus",54.66666448
"357","Catharus minimus",62.91666415
"358","Catharus ustulatus",95.41666285
"359","Catherpes mexicanus",29.66666548
"360","Cecropis daurica",41.24999835
"361","Celeus elegans",14.83333274
"362","Celeus undatus",3.91666651
"363","Centrocercus urophasianus",11.49999954
"364","Centropus superciliosus",36.49999854
"365","Centurio senex",11.6666662
"366","Cepphus columba",23.66666572
"367","Pipra erythrocephala",11.83333286
"368","Cerberus rynchops",4.58333315
"369","Cercomacroides tyrannina",9.33333295999999
"370","Cerorhinca monocerata",13.83333278
"371","Certhia americana",29.1666655
"372","Certhia brachydactyla",3.99999984
"373","Certhia familiaris",15.08333273
"374","Certhiaxis cinnamomeus",42.58333163
"375","Megaceryle alcyon",48.08333141
"376","Cettia cetti",5.16666646
"377","Cettia fortipes",3.74999985
"378","Cettia ruficapilla",2.33333324
"379","Ceuthmochares aereus",12.16666618
"380","Ceyx lepidus",19.83333254
"381","Ceyx melanurus",8.66666632
"382","Ispidina picta",14.74999941
"383","Chaerephon pumilus",31.91666539
"384","Chaetodipus arenarius",7.83333302
"385","Chaetodipus baileyi",10.99999956
"386","Chaetodipus californicus",6.83333306
"387","Chaetodipus dalquesti",2.4999999
"388","Chaetodipus eremicus",9.1666663
"389","Chaetodipus fallax",6.6666664
"390","Chaetodipus formosus",13.58333279
"391","Chaetodipus goldmani",4.33333316
"392","Chaetodipus hispidus",20.24999919
"393","Chaetodipus intermedius",10.99999956
"394","Chaetodipus nelsoni",10.24999959
"395","Chaetodipus penicillatus",10.49999958
"396","Chaetodipus pernix",5.33333312
"397","Chaetodipus rudinoris",7.58333303
"398","Chaetodipus spinatus",10.99999956
"399","Chaetorhynchus papuensis",6.24999975
"400","Chaetura pelagica",17.33333264
"401","Chaetura spinicaudus",3.74999985000001
"402","Chaetura vauxi",36.74999853
"403","Chalcophaps indica",42.24999831
"404","Chalcophaps stephani",6.41666641
"405","Chalcostigma ruficeps",8.66666632000001
"406","Chalinolobus nigrogriseus",2.74999989
"407","Chamaea fasciata",6.74999973000001
"408","Chamaeza campanisona",30.49999878
"409","Charadrius alexandrinus",16.83333266
"410","Charadrius collaris",46.33333148
"411","Charadrius dubius",36.24999855
"412","Charadrius montanus",8.08333301
"413","Charadrius semipalmatus",55.99999776
"414","Charadrius tricollaris",35.74999857
"415","Charadrius vociferus",22.58333243
"416","Charadrius wilsonia",23.49999906
"417","Charina bottae",3.58333319
"418","Chelidoptera tenebrosa",17.33333264
"419","Chiroderma salvini",28.41666553
"420","Chiroderma trinitatum",16.08333269
"421","Chiroderma villosum",30.33333212
"422","Chiroxiphia boliviana",6.74999973
"423","Chiroxiphia caudata",2.33333324
"424","Chlidonias niger",8.74999965
"425","Chloroceryle aenea",22.33333244
"426","Chloroceryle americana",48.3333314
"427","Chloroceryle inda",11.41666621
"428","Chlorocichla flaviventris",18.91666591
"429","Chlorophanes spiza",16.49999934
"430","Chlorophonia cyanea",18.91666591
"431","Chloropipo unicolor",1.91666659000001
"432","Chlorornis riefferii",7.08333305000001
"433","Chlorospingus flavopectus",42.08333165
"434","Chlorostilbon canivetii",7.08333305
"435","Choeronycteris mexicana",17.08333265
"436","Chondestes grammacus",24.41666569
"437","Chordeiles acutipennis",44.74999821
"438","Chordeiles minor",24.999999
"439","Chroicocephalus philadelphia",28.99999884
"440","Chrotopterus auritus",39.91666507
"441","Chrysopelea ornata",9.33333296
"442","Ciccaba virgata",19.33333256
"443","Cichlopsis leucogenys",1.58333327
"444","Cicinnurus magnificus",4.83333313999999
"445","Cicinnurus regius",5.49999977999999
"446","Cinclodes fuscus",38.83333178
"447","Cinclus leucocephalus",8.58333299000001
"448","Cinclus mexicanus",27.83333222
"449","Cinclus pallasii",6.83333306
"450","Cinnycerthia peruana",12.4999995
"451","Circus cyaneus",17.33333264
"452","Cissopis leveriana",24.41666569
"453","Cisticola cantans",33.83333198
"454","Cisticola chiniana",27.08333225
"455","Cisticola erythrops",25.24999899
"456","Cisticola fulvicapilla",17.83333262
"457","Cisticola juncidis",66.58333067
"458","Cistothorus palustris",10.24999959
"459","Cistothorus platensis",78.24999687
"460","Clangula hyemalis",19.83333254
"461","Claravis pretiosa",44.9999982
"462","Clytomyias insignis",2.24999991
"463","Clytorhynchus vitiensis",2.66666656
"464","Cnemarchus erythropygius",13.3333328
"465","Cnemophilus loriae",2.99999988
"466","Cnemotriccus fuscatus",30.8333321
"467","Coccothraustes coccothraustes",5.66666644
"468","Coccothraustes vespertinus",19.49999922
"469","Coccyzus americanus",62.91666415
"470","Coccyzus erythropthalmus",16.83333266
"471","Coccyzus melacoryphus",35.66666524
"472","Coeligena coeligena",8.99999964
"473","Coeligena lutetiae",5.99999975999999
"474","Coeligena torquata",15.24999939
"475","Coeligena violifer",8.41666633
"476","Coereba flaveola",34.74999861
"477","Colaptes atricollis",10.16666626
"478","Colaptes auratus",40.41666505
"479","Colaptes cafer",14.58333275
"480","Colaptes campestris",38.83333178
"481","Colaptes melanochloros",13.74999945
"482","Colaptes rivolii",8.83333298000001
"483","Colaptes rubiginosus",26.83333226
"484","Colaptes rupicola",11.49999954
"485","Colibri coruscans",26.08333229
"486","Colibri delphinae",12.66666616
"487","Colibri thalassinus",32.58333203
"488","Colinus virginianus",15.74999937
"489","Colius colius",6.41666641
"490","Colius striatus",35.66666524
"491","Collocalia esculenta",38.24999847
"492","Colluricincla boweri",2.74999989
"493","Colluricincla harmonica",20.16666586
"494","Colluricincla megarhyncha",17.16666598
"495","Colonia colonus",35.24999859
"496","Coluber constrictor",13.16666614
"497","Columba arquatrix",36.49999854
"498","Patagioenas fasciata",60.74999757
"499","Columba livia",11.74999953
"500","Columbina inca",24.999999
"501","Columbina passerina",31.33333208
"502","Columbina picui",16.58333267
"503","Columbina talpacoti",60.66666424
"504","Condylura cristata",11.6666662
"505","Conirostrum cinereum",10.16666626
"506","Conirostrum sitticolor",12.24999951
"507","Conirostrum speciosum",27.83333222
"508","Conopophaga castaneiceps",7.83333302
"509","Conopophaga lineata",2.24999991
"510","Contia tenuis",2.4999999
"511","Contopus cinereus",36.83333186
"512","Contopus cooperi",41.24999835
"513","Contopus fumigatus",18.66666592
"514","Contopus sordidulus",46.08333149
"515","Contopus virens",38.16666514
"516","Copsychus luzoniensis",3.24999987
"517","Copsychus saularis",25.24999899
"518","Coracias caudatus",23.99999904
"519","Corapipo gutturalis",1.41666661
"520","Cormobates leucophaea",15.41666605
"521","Corvus brachyrhynchos",17.24999931
"522","Corvus caurinus",13.58333279
"523","Corvus corax",28.99999884
"524","Corvus cryptoleucus",10.49999958
"525","Corynorhinus townsendii",20.41666585
"526","Coryphospingus cucullatus",18.83333258
"527","Corythopis delalandi",3.99999984
"528","Corythopis torquatus",19.08333257
"529","Cossypha caffra",36.24999855
"530","Cossypha heuglini",18.08333261
"531","Cossypha natalensis",9.83333294
"532","Cossypha niveicapilla",10.16666626
"533","Cossypha semirufa",1.99999992
"534","Cracticus quoyi",12.74999949
"535","Cranioleuca albicapilla",3.24999987
"536","Cranioleuca antisiensis",3.74999984999999
"537","Cranioleuca pyrrhophia",20.49999918
"538","Crateroscelis murina",3.99999984
"539","Crateroscelis robusta",5.74999977
"540","Cratogeomys castanops",17.33333264
"541","Cratogeomys goldmani",1.58333327
"542","Cricetulus barabensis",3.66666652
"543","Cricetulus longicaudatus",12.33333284
"544","Cricetulus migratorius",9.49999962
"545","Criniger calurus",6.24999975
"546","Crocidura beatus",4.91666647
"547","Crocidura grayi",6.49999974
"548","Crocidura sibirica",3.66666652
"549","Crotalus atrox",7.58333303
